,description_short,adress,zip_code,price_cold,price_warm,rooms,area,yearbuild,url
33,"ZUHAUSE FÜR KLEINE FAMILIEN MIT KITA UND GYM Moderne 3-Zi-Whg im Berliner Stadtquartier ""SÜDKREUZ""",Tempelhofer Weg 44  10829 Berlin,10829,1393.77,1637.67,3.0,87.11,2020,https://www.immonet.de/angebot/41468618
34,"Wunderschöne Dreiraumwohnung // Tageslichtbad, EBK, 2x Balkon zum Erstbezug!",Heidestraße 19  10557 Berlin,10557,1654.15,1939.84,3.0,95.23,2019,https://www.immonet.de/angebot/41478023
35,Furnished NEW apartment in Uhlandstraße,10715 Berlin,10715,1200.0,NaN,2.0,54.8,2019,https://www.immonet.de/angebot/41667708
36,Modernes Penthouse mit Dachgarten und zwei Terrassen,10435 Berlin,10435,4400.0,5058.0,5.0,246.0,2007,https://www.immonet.de/angebot/41172256
37,"ZUHAUSE FÜR FAMILIEN MIT KITA UND GARTEN Moderne 4- Zi-Whg im Berliner Stadtquartier ""SÜDKREUZ""",Tempelhofer Weg 44  10829 Berlin,10829,1571.81,1841.81,4.0,96.43,2020,https://www.immonet.de/angebot/41442792
38,Sie können sofort einziehen - Erstbezug!,Oranienburger Straße 57-58  13437 Berlin,13437,644.1,921.07,2.0,64.41,2020,https://www.immonet.de/angebot/41644451
39,Einziehen und nie wieder ausziehen wollen im innovativen Neubauquartier Heidestrasse,Heidestraße / Planstraße / Dreieckplatz .  10557 Berlin,10557,1756.0,NaN,3.0,99.83,2020,https://www.immonet.de/angebot/40965095
40,HOCH über Potsdam - MAISONETTE-Wohnung im 20/21 OG!!!,Gerlachstraße 31/33  14480 Potsdam,14480,1074.55,1504.37,3.0,113.11,1998,https://www.immonet.de/angebot/41014159
41,Einfach großartig++einfach Kirchsteigfeld !!,Johanna-Just-Straße 2a  14480 Potsdam,14480,836.83,1099.83,3.0,90.96,1995,https://www.immonet.de/angebot/41491372
42,"Einzel- und Onlinebesichtigungen möglich: Charmante 3-Zimmerwohnung mit EBK, Balkon und Keller",Aldebaranstraße 4  12529 Schönefeld,12529,854.0,1110.0,3.0,72.33,2020,https://www.immonet.de/angebot/41554666
43,Exklusive 4 - Zimmerwohnung mit 2 Balkonen und moderner EBK,Otto-Weidt-Platz 12  10557 Berlin,10557,1900.0,NaN,4.0,104.05,2017,https://www.immonet.de/angebot/41511566
44,Moderne Apartments in zentraler Lage - Vorteile für Early Birds!,Unter den Eichen 96 96  12205 Berlin,12205,559.0,679.0,1.0,17.0,NA,https://www.immonet.de/angebot/41236013
45,Studentenapartment - Nachmieter zum 01092020 gesucht,Amrumer Str. 36  13353 Berlin,13353,350.0,NaN,1.0,29.19,2019,https://www.immonet.de/angebot/41666501
46,Spektakulärer Erstbezug mit Turmzimmer!,"Isländische Straße, WE48, Turm 18  10439 Berlin",10439,2873.56,3251.66,3.0,165.0,2019,https://www.immonet.de/angebot/38764444
47,Zwischen Havel und Schloss: großzügige 4-Zimmer-Wohnung mit Terrasse und 2 Bädern!,Lehnitzstraße 23 B  16515 Oranienburg,16515,1115.0,1411.0,4.0,104.01,2020,https://www.immonet.de/angebot/41451660
48,Erstbezug - Stilvolle Familienwohnung in Berlins Mitte!,Fromet-und-Moses-Mendelssohn-Platz 3  10969 Berlin,10969,2500.0,2500.0,5.0,134.0,2020,https://www.immonet.de/angebot/41316068
49,"ZUHAUSE FÜR YOUNGSTARS MIT BALKON 1-Zimmer-Apartment im Berliner Stadtquartier ""SÜDKREUZ"" - ***All-In-Miete***",Quartiersweg 6  10829 Berlin,10829,557.63,656.04,1.0,23.75,2020,https://www.immonet.de/angebot/41578132
50,Traumhafte und ruhige 2-Zimmer-Wohnung mit Blick auf den Kanal,Lindenring 39  16761 Hennigsdorf,16761,550.0,780.0,2.0,58.34,1996,https://www.immonet.de/angebot/41641810
51,"ZENTRAL IN BIESENTHAL | Sofort verfügbare, lichtdurchflutete Wohnung mit Blick zum Marktplatz",16359 Biesenthal,16359,761.25,1015.0,3.0,101.5,1997,https://www.immonet.de/angebot/39717076
52,"Komfort pur: Einbauküche, kernsaniert, sonnendurchflutet! 2 riesige Südterrassen! 2 Bäder! Eichenparkett etc",Ernst-Thälmann-Str. 39  14532 Kleinmachnow,14532,2175.0,2685.0,6.0,160.0,1929,https://www.immonet.de/angebot/41360457
53,Noch kein Zimmer für das Wintersemester gefunden? Wohne mit Nido Student,Clayallee 366  14169 Berlin,14169,630.0,750.0,1.0,32.0,1969,https://www.immonet.de/angebot/41183956
54,Erstbezug: Luxuriöse Wohnungen mit direkter Wasserlage in Berlins Zentrum!,Hilda-Geiringer-Weg H3_05/05 6  10557 Berlin,10557,2900.0,3292.0,4.0,132.0,2019,https://www.immonet.de/angebot/40842215
55,"Kleines, helles Singleappartment mit Wintergarten und EBK!",Pfannschmidtstr. 39  13125 Berlin,13125,579.0,698.0,1.5,43.11,1997,https://www.immonet.de/angebot/41180876
56,Hier lässt es sich aushalten: günstige 2-Zimmer-Wohnung,Ernst-Thälmann-Platz 13a  14641 Wustermark,14641,726.51,864.95,2.0,56.45,2019,https://www.immonet.de/angebot/41558562
57,Preiswerte und individuelle 3-Zimmer-Wohnung,Ernst-Thälmann-Platz 12a  14641 Wustermark,14641,849.17,1082.79,3.0,77.55,2019,https://www.immonet.de/angebot/41558669
58,2-Zimmer-Wohnung individuell zu gestalten! (WBS),Am Rupenhorn 7 D  14055 Berlin,14055,673.92,904.92,2.0,74.88,1974,https://www.immonet.de/angebot/41102086
59,Hell und geräumig! Familienapartment im Grünen!,Naumburger Ring 46  12627 Berlin,12627,669.0,836.0,3.0,69.79,1988,https://www.immonet.de/angebot/40939102
60,Kleine Wohnung in Rangsdorf,15834 Rangsdorf,15834,420.0,500.0,1.0,42.5,1933,https://www.immonet.de/angebot/41667144
61,Edles Apartment in Berlin mit Pantry-Küche,Heidestraße 19  10557 Berlin,10557,856.06,990.0,1.0,26.79,2019,https://www.immonet.de/angebot/41302984
62,"4 Zimmer auf 74,7 Quadratmeter",Bahnhofstr. 2  16356 Werneuchen,16356,519.0,NaN,4.0,74.7,1974,https://www.immonet.de/angebot/41594202
63,Zum Wohlfühlen mitten in Mitte,Schwartzkopffstraße 7E  10115 Berlin,10115,1203.31,1375.11,2.0,65.72,2017,https://www.immonet.de/angebot/41621610
64,Schöne Wohnung in Reinickendorf mit Wohnberechtigungsschein,Neptunstr. 22  13409 Berlin,13409,437.18,768.18,2.0,53.26,2016,https://www.immonet.de/angebot/41666502
65,Erstbezug in Lichtenberg / Attraktive 2 Raumwohnung sucht Erstmieter zum 111 / 1122020,Charlottenstr. 19  10315 Berlin,10315,764.64,NaN,2.0,53.0,2020,https://www.immonet.de/angebot/41646663
66,Traumhafte 2-Zimmer-Neubauwohnung mit vielen Highlights - Perfekt für höchste Ansprüche,Voltairestraße 11  10179 Berlin,10179,1295.53,NaN,2.0,69.1,2017,https://www.immonet.de/angebot/41625640
67,Gartenwohnung im ruhigen Hinterhaus!,Triftstraße 52  13353 Berlin,13353,1060.0,1284.0,3.0,105.52,1903,https://www.immonet.de/angebot/41219710
68,Schöne Wohnung in Reinickendorf,Neptunstr. 22  13409 Berlin,13409,998.03,1233.03,2.0,61.18,2016,https://www.immonet.de/angebot/41510906
69,Neubau Dachgeschoß mit allem Komfort und Südwest-Dachterrasse in Bestlage Westend,Lindenallee 28  14050 Berlin,14050,2374.0,NaN,4.0,172.0,1911,https://www.immonet.de/angebot/41121443
70,Pärchenwohnung mit Balkon! Ab Sofort!,Rhinstraße 7  10315 Berlin,10315,699.0,833.0,2.0,57.35,1984,https://www.immonet.de/angebot/41036999
71,Repräsentative Dachgeschosswohnung am Lietzenseepark - frei ab sofort,Kaiserdamm 13  14057 Berlin,14057,3490.0,3876.0,5.0,190.0,1900,https://www.immonet.de/angebot/41493425
72,3-Zimmer-Wohnung mit 2 Balkonen und Tiefgaragenstellplatz in der neu entstehenden Europacity,Lydia-Rabinowitsch-Straße 24  10557 Berlin,10557,1478.0,1912.0,3.0,77.79,2017,https://www.immonet.de/angebot/40995173
73,Luxus in Berlin-Rosenthal: Neue und komplett eingerichtete 2-Zimmer-Wohnung,13158 Berlin,13158,890.0,1000.0,2.0,51.0,2019,https://www.immonet.de/angebot/40926914
74,Wasserblick in Berlins Mitte - Erstbezug!,Invalidenstraße H4_03/11 79  10557 Berlin,10557,3500.0,3965.0,5.0,158.0,2019,https://www.immonet.de/angebot/40842016
75,Erstbezug! - Nur noch wenige Wohnungen im Lützow Carré verfügbar! - Top 2-Zimmer-Wohnung mit Südbalkon,Lützowufer 21  10787 Berlin,10787,1233.4,1465.8,2.0,66.4,2018,https://www.immonet.de/angebot/37558468
76,Wohnen in Teltow - Altstadt,14513 Teltow,14513,630.0,770.0,2.0,63.0,1900,https://www.immonet.de/angebot/41640942
77,3-Zimmer-Wohnung in Nuthe-Urstromtal Berkenbrück ab sofort verfügbar,Berkenbrücker Dorfstr. 22  14947 Nuthe-Urstromtal,14947,320.0,450.0,3.0,78.88,1970,https://www.immonet.de/angebot/41655272
78,Erstbezug im Neubau! Berlin-Niederschönhausen,Blankenburger Straße 28B  13156 Berlin,13156,673.71,851.22,3.0,63.2,2020,https://www.immonet.de/angebot/41647517
79,Wunderschöne Pärchenwohnung nahe Tempelhofer Hafen!,Burgemeisterstraße 72  12103 Berlin,12103,879.0,1094.0,2.0,64.0,1992,https://www.immonet.de/angebot/40926941
80,Schöne Wohnung sucht Mieter: ideale 1-Zi-Single-Wohnung,Ernst-Thälmann-Platz 12a  14641 Wustermark,14641,457.94,551.23,1.0,38.45,2019,https://www.immonet.de/angebot/41558548
81,Diese Wohnung hat Stil! 2-Zimmer-Dachgeschoss-Wohnung in Paretz,Parkring 2  14669 Ketzin,14669,958.03,1158.71,2.0,87.252,2020,https://www.immonet.de/angebot/41103396
82,Shared Office Space in Top Lage!,Oberwallstraße 14  10117 Berlin,10117,1450.0,1850.0,1.0,NA,2009,https://www.immonet.de/angebot/34894112
