,description_short,adress,zip_code,price_cold,price_warm,rooms,area,yearbuild,url
263,"Fully furnished, cool apartment in the center of the city Coole möblierte Wohnung im Herzen Friedrichshains!",Dolziger Str. 2  10247 Berlin,10247,1000.0,1290.0,2.0,70.0,NA,https://www.immonet.de/angebot/40506787
264,Komfortable Studentenapartments in Oberschöneweide,Reinbeckstraße 4-8  12459 Berlin,12459,268.0,325.0,1.0,15.0,2012,https://www.immonet.de/angebot/39524225
265,"WOW Spreeblick + Bootsanlegerplatz inklusive! Perfekte 3 ZiWhg mit 2 Bädern, Parkett + überdachtem Balkon",An der Wuhlheide  12459 Berlin,12459,1650.0,1930.0,3.0,126.7,2016,https://www.immonet.de/angebot/41618644
266,Saniertes Apartment im ruhigen Innenhof !,Stellingdamm 2  12555 Berlin,12555,723.75,805.78,1.0,48.25,1900,https://www.immonet.de/angebot/41168719
267,Stilvolle Stadtrezidenz in Berlins Mitte,10117 Berlin,10117,2520.0,3100.0,2.0,153.0,2003,https://www.immonet.de/angebot/41640369
268,"Erstbezug sehr schöne, kernsanierte 2 Zi-Wohnung mit Wohnküche + Balkon in Ruhleben",Ruhlebener Str. 3  13597 Berlin,13597,980.0,1161.0,2.0,90.7,1900,https://www.immonet.de/angebot/41647115
269,"Penthouse Wohnung hoch oben! Tageslichtbad, EBK, 2x Balkon zum Erstbezug!",Heidestraße 19  10557 Berlin,10557,1733.59,2019.19,3.0,95.2,2019,https://www.immonet.de/angebot/41477412
270,Flexibler Mietbeginn möglich++650 EUR Gutschrift erhalten++2 Balkone genießen !!,Dorothea-Schneider-Straße 5  14480 Potsdam,14480,691.0,978.0,3.0,77.64,1995,https://www.immonet.de/angebot/41660712
271,Traumhaftes Altbaujuwel mit Wasserblick!,Schiffbauerdamm 6-7  10117 Berlin,10117,1450.0,1630.0,2.0,73.0,NA,https://www.immonet.de/angebot/41664434
272,"Sonnenhöfe - 2 Zimmer mit Balkon, EBK und Duschbad zum Januar 2021",Angerstraße 21  12529 Schönefeld,12529,689.0,872.0,2.0,51.97,2019,https://www.immonet.de/angebot/40875242
273,Traumhaft schönes Apartment mit Spreeblick!,Bachstraße 1  10555 Berlin,10555,1340.0,1929.0,2.0,67.0,NA,https://www.immonet.de/angebot/40556662
274,3 Zimmer Dachgeschosstraum mit großzügiger Terrasse,12439 Berlin,12439,1471.63,1712.88,3.0,96.5,2020,https://www.immonet.de/angebot/41594091
275,Stilvolle 3-Zimmer Wohnung zum Erstbezug in Spandau! Einzelbesichtigungen möglich,Grünhoferweg 36  13581 Berlin,13581,1190.0,1456.0,3.0,88.61,2020,https://www.immonet.de/angebot/41593115
276,Traumhafte 3 Zi EG-Wohnung + EBK + Terrasse + Erstbezug!,Heidestraße 19  10557 Berlin,10557,1484.98,1745.35,3.0,86.79,2019,https://www.immonet.de/angebot/41476563
277,Endlich umziehen in eine schöne sanierte Wohnung mit Altbaucharme am Koeltzepark Nahe Altstadt!,13585 Berlin,13585,978.0,NaN,4.0,106.51,1895,https://www.immonet.de/angebot/41670356
278,Wie niedlich - kleines Familienapartment in Hellersdorf!,Kastanienallee 84  12627 Berlin,12627,629.0,771.0,3.0,54.5,1985,https://www.immonet.de/angebot/41476151
279,Erstbezug im Königstadt-Quartier! Stilvolle 3-Zimmerwohnung in Friedrichshain,Pauline-Staegemann-Str. 4  10249 Berlin,10249,1595.0,1895.0,3.0,89.75,2020,https://www.immonet.de/angebot/41600862
280,Rüdersdorf - kurz vor den Toren Berlins,Puschkinstr. 8  15562 Rüdersdorf,15562,320.0,440.0,1.0,43.68,1996,https://www.immonet.de/angebot/41652023
281,Sonnenhöfe - 4 Zimmer Erstbezug im Dezember 2020,Antaresstraße 5  12529 Schönefeld,12529,999.0,1291.0,4.0,90.94,2019,https://www.immonet.de/angebot/39717526
282,"Hübsche, kleine Pärchenwohnung mit Balkon!",Kokoschkastr. 6  12627 Berlin,12627,699.0,919.0,2.5,71.22,1998,https://www.immonet.de/angebot/41232081
283,Ruhig gelegene Doppelhaushälfte mit eigenem Garten !,Hamerlingweg 4a  14167 Berlin,14167,2635.54,2843.11,5.0,241.0,NA,https://www.immonet.de/angebot/41325202
284,"ZUHAUSE FÜR YOUNGPROFESSIONALS MIT CO-WORKING SPACE - 1-Zimmer-Apartment im Berliner Stadtquartier ""SÜDKREUZ"" - ***All-In-Miete***",Quartiersweg 6  10829 Berlin,10829,518.82,615.0,1.0,22.9,2020,https://www.immonet.de/angebot/41614161
285,"Ihre neue Familienoase mit EBK, Loggia, Fahrstuhl & Fußbodenheizung!",Hielscherstraße 17  13158 Berlin,13158,822.0,1116.0,3.0,82.83,1995,https://www.immonet.de/angebot/41640806
286,Hochwertige Wohnungen Nähe Kurfürstendamm,Schlüterstraße 72A  10625 Berlin,10625,1039.0,1166.9,2.0,41.56,2018,https://www.immonet.de/angebot/41320359
287,2-Zimmer-Wohnung mit EBK in Werder (Havel),14542 Werder,14542,550.0,730.0,2.0,92.0,1995,https://www.immonet.de/angebot/41611884
288,Zossen - Ausbau Dachgeschossrohling mit großzügiger Dachterrasse im Erstbezug,15806 Zossen,15806,980.0,1200.0,4.0,95.0,2020,https://www.immonet.de/angebot/41604064
289,"Erstbezug: exklusive, geräumige 3-Zimmer-Wohnung mit Balkon & Garage in Mitte, Berlin",Scharnhorstraße 8  10115 Berlin,10115,1850.0,2260.0,3.0,107.0,2020,https://www.immonet.de/angebot/41582069
290,Traumhaftes Penthouse in Toplage Berlin-Mitte **Dachterrasse**Klimaanlage**exklusive Ausstattung**,10178 Berlin,10178,3500.0,4150.0,4.0,143.22,1894,https://www.immonet.de/angebot/39828603
291,"Barrierefreie 2-Z-Whg nahe S-Bahnhof Kaulsdorf, Erstbezug nach Vollsanieurng",12621 Berlin,12621,950.0,NaN,2.0,63.0,NA,https://www.immonet.de/angebot/41202145
292,Schlüssel sucht Bund fürs Leben - Erstbezug!,Oranienburger Straße 57-58  13437 Berlin,13437,659.6,943.23,2.0,65.96,2020,https://www.immonet.de/angebot/41644449
293,Exklusive Wohnung am Checkpoint Charlie!,10969 Berlin,10969,5700.0,6450.0,2.0,186.0,2016,https://www.immonet.de/angebot/39420318
294,"Einzel- und Onlinebesichtigungen möglich: Schöne 3-Zimmerwohnung mit EBK, BALKON und KELLER",Aldebaranstraße 6  12529 Schönefeld,12529,854.0,1110.0,3.0,72.33,2020,https://www.immonet.de/angebot/41554677
295,Kleine gemütliche Stadtwohnung mit Loggia inklusive Tiefgaragenstellplatz,Karlsruher Str. 18  10711 Berlin,10711,1222.0,1410.0,2.0,47.0,1966,https://www.immonet.de/angebot/40136964
296,Ihr Garten an der Spree,An der Wuhlheide 206  12459 Berlin,12459,1599.0,1902.62,3.0,92.3,2016,https://www.immonet.de/angebot/41191390
297,Tolle 1-Raum-Wohnung mit Balkon,14776 Brandenburg,14776,367.29,461.15,1.0,40.81,2012,https://www.immonet.de/angebot/41592972
298,Edle 3-Zimmerwohnung mit EBK und Balkon im Königstadt-Quartier!,Pauline-Staegemann-Str. 2  10249 Berlin,10249,1435.0,1695.0,3.0,77.07,2020,https://www.immonet.de/angebot/41599477
299,"Wohnglück auf 100 qm! Tageslichtbad, Balkon + EBK",Heidestraße 19  10557 Berlin,10557,1675.17,1976.64,3.0,100.49,2019,https://www.immonet.de/angebot/41477410
300,Großzügige Wohnung direkt an der Spree - Erstbezug!,Invalidenstraße H4_05/11 79  10557 Berlin,10557,3800.0,4265.0,5.0,158.0,2019,https://www.immonet.de/angebot/40841938
301,Komfortaltbau in der Münzstraße - Erstbezug nach umfassender Kernsanierung - Designausstattung -,Münzstraße 10  10178 Berlin,10178,3120.0,NaN,3.0,135.0,1869,https://www.immonet.de/angebot/41164666
302,Sonnenhöfe - Familienidylle in großzügige 3 Zimmer Wohnung,Antaresstraße 3  12529 Schönefeld,12529,949.0,1233.0,3.0,88.3,2019,https://www.immonet.de/angebot/40536529
303,Modernisierte 3 Zimmer Wohnung mit Wintergarten!,Manteuffelstraße 27  12103 Berlin,12103,696.0,891.0,3.0,76.93,1985,https://www.immonet.de/angebot/41635660
304,Möbliertes Wohnen im Friedrichshain/Kreuzberg - brandneue Wohnung,Fromet-und-Moses-Mendelssohn-Platz 2  10969 Berlin,10969,1249.0,1399.0,2.0,43.0,2020,https://www.immonet.de/angebot/41665497
305,"ZUHAUSE FÜR GENIEßER MIT DACHGARTEN - Exklusive 3-Zi-Whg im Berliner Stadtquartier ""SÜDKREUZ""",Tempelhofer Weg 44  10829 Berlin,10829,1314.12,1526.8,3.0,80.0,2020,https://www.immonet.de/angebot/41018112
306,Möblierte & hochwertige Wohnung am Spittelmarkt!,Alte Jakobstraße 94  10719 Berlin,10719,1900.0,2225.0,3.0,116.0,2008,https://www.immonet.de/angebot/41627899
307,"EG-Wohntraum mit EBK, Loggia & Fußbodenheizung!",Blankenfelder Straße 32  13127 Berlin,13127,598.0,822.0,2.0,60.29,1997,https://www.immonet.de/angebot/41639913
308,Viel Platz auf 108m² und drei Zimmer direkt am HBF mit Erstbezug und EBK,Heidestraße 19  10557 Berlin,10557,1699.28,2025.02,3.0,108.58,2019,https://www.immonet.de/angebot/41477308
309,Viel Platz auf 2 Etagen für die große Familie im 2-Familienhaus **teilgewerbliche Nutzung möglich**,12309 Berlin,12309,2495.0,2945.0,6.0,166.34,2019,https://www.immonet.de/angebot/40790134
310,"Sonnenhöfe: Klein, aber fein - moderner Erstbezug mit Einbauküche und Balkon",Angerstraße 16  12529 Schönefeld,12529,549.0,682.0,1.5,41.42,2020,https://www.immonet.de/angebot/41554671
311,Wohnung im Zentrum mit viel Platz,Mittelstraße 16  14641 Nauen,14641,640.0,920.0,3.0,102.97,1912,https://www.immonet.de/angebot/41137529
312,"Hübsche Single-Wohnung, in Baumschulenweg ***Wannenbad***",12437 Berlin,12437,415.5,520.5,1.0,42.0,1912,https://www.immonet.de/angebot/41664905
313,"Möbliertes, renoviertes Stadtappartement (1 Zimmer) in Charlottenburg - Neu Westend",Ratzeburger Allee 3  14050 Berlin,14050,800.0,1000.0,1.0,43.76,1938,https://www.immonet.de/angebot/41632454
314,Wohnglück auf fast 100qm zum Erstbezug!  EBK + Terrasse,Heidestraße 19  10557 Berlin,10557,1556.88,1851.0,3.0,98.04,2019,https://www.immonet.de/angebot/41477419
315,Erstbezug nach Dachausbau!,Waldemarstraße 48  10997 Berlin,10997,897.0,997.0,2.0,44.87,2020,https://www.immonet.de/angebot/41664459
316,Tausche 3 Zimmer gegen 2Zimmer,Brauhausstrasse 5  13086 Berlin,13086,790.0,1027.0,3.0,88.0,1994,https://www.immonet.de/angebot/41641341
317,Verwirklichen Sie Ihren Traum von einer 2-Zimmer-Wohnung mit Terrasse und Balkon,12489 Berlin,12489,700.0,700.0,2.0,65.0,NA,https://www.immonet.de/angebot/41607276
318,Mehr als nur vier Wände - Mit EBK! Schönes Heim in Citynähe!,Simon-Bolivar-Str. 18A  13055 Berlin,13055,999.0,1238.0,3.0,80.59,1994,https://www.immonet.de/angebot/41588948
319,Rollstuhlgerechte Wohnung im Erdgeschoss - TOP Zustand!,Antonienstraße 49a  13403 Berlin,13403,530.0,700.0,2.0,57.71,1992,https://www.immonet.de/angebot/41465433
320,Balkon und Wintergarten Erstbezug,Rosenfelder Ring 150  10315 Berlin,10315,1139.04,1383.36,3.0,81.36,2020,https://www.immonet.de/angebot/41360337
321,Apartment suitable for flat share & students,Heidestraße 19  10557 Berlin,10557,791.22,940.0,1.0,29.76,2019,https://www.immonet.de/angebot/41303070
322,Apartment geeignet für WG & Studenten,Heidestraße 19  10557 Berlin,10557,791.22,940.0,1.0,29.76,2019,https://www.immonet.de/angebot/41302972
323,Luxuriöse Wohnung mit Wasserlage in Berlins Zentrum!,Hilda-Geiringer-Weg H3_05/09 4  10557 Berlin,10557,1800.0,2071.0,3.0,92.0,2019,https://www.immonet.de/angebot/40362511
324,"Neubau-Dachgeschoss-Wohnung, die keine Wünsche offen lässt",Am Lückefeld 23  15831 Mahlow,15831,1036.88,NaN,3.0,79.76,2020,https://www.immonet.de/angebot/40487061
325,Exklusives Dachgeschoss mit sonniger Dachterrasse unweit des Holländischen Viertels !,Gutenbergstraße 94  14467 Potsdam,14467,2004.13,2357.0,4.5,117.89,NA,https://www.immonet.de/angebot/40313668
326,Über den Dächern Berlins - Edle 4-Zimmerwohnung in Berlin Friedrichshain,Pauline-Staegemann-Str. 2  10249 Berlin,10249,2730.0,3130.0,4.0,120.06,2020,https://www.immonet.de/angebot/41600892
327,"Sonnenhöfe - große 4 Zimmer mit Wannenbad, Gästebad, EBK und Balkon",Angerstraße 6  12529 Schönefeld,12529,1049.0,1359.0,4.0,96.44,2019,https://www.immonet.de/angebot/40543023
328,Hier fühlen Sie sich wohl: weitläufige 3-Zimmer-Wohnung,Ernst-Thälmann-Platz 13a  14641 Wustermark,14641,1048.53,1324.72,3.0,96.55,2019,https://www.immonet.de/angebot/41558591
329,Quartier Heidestrasse: modernste Ausstattung ua mit Smart Home,Heidestraße / Planstraße / Dreieckplatz .  10557 Berlin,10557,1584.0,NaN,3.0,91.84,2020,https://www.immonet.de/angebot/41388808
330,"Familienwohnung mit Renovierungskostenzuschuss, für Handwerker!",Rhinstraße 5  10315 Berlin,10315,799.0,965.0,3.0,71.2,1984,https://www.immonet.de/angebot/41279826
331,"2 Studios im DG - nur 500 m bis Sanssouci, direkt am Brandenburger Tor",Brandenburger Straße  14467 Potsdam,14467,950.0,1150.0,1.0,50.0,NA,https://www.immonet.de/angebot/37503134
332,2-Raumwohnung im Grünen,15345 Altlandsberg,15345,400.0,510.0,2.0,45.0,1935,https://www.immonet.de/angebot/41081870
333,Wohnen in Havelnähe: barrierefreie 3-Zimmer-Wohnung mit Balkon,Lehnitzstraße 23  16515 Oranienburg,16515,840.0,1046.0,3.0,71.98,2020,https://www.immonet.de/angebot/41451768
334,"sanierte, großzügige 1-Zimmer DG-Wohnung mit großer Wohnküche sucht neuen Nachmieter",Bahnhofstr. 107  15827 Dahlewitz,15827,545.0,675.0,1.0,50.24,1995,https://www.immonet.de/angebot/41568485
335,Kleine Perle am nördlichen Stadtrand! Frisch gestrichen!,Pfannschmidtstr. 39  13125 Berlin,13125,579.0,697.0,1.5,43.0,1997,https://www.immonet.de/angebot/41429966
336,Wir bauen für Sie / 4 Raumwohnung in Lichtenberg sucht Erstmieter zum 111 / 1122020,Charlottenstr. 19  10315 Berlin,10315,1281.55,NaN,4.0,90.0,2020,https://www.immonet.de/angebot/41665193
337,Hochwertig ausgestattete Wohnung im Erstbezug nahe Alexanderplatz,Pauline-Staegemann-Str. 4  10249 Berlin,10249,1595.0,1895.0,3.0,89.0,2020,https://www.immonet.de/angebot/41600869
338,"Vollmöblierte Penthouse-Apartments im ""Urban Living Berlin""",Balatonstraße 1/1a  10319 Berlin,10319,680.0,NaN,2.0,37.11,2018,https://www.immonet.de/angebot/41363329
339,"Helle, einladende 2-Raum-WE im 1 OG, sofort bezugsfrei!",Am Wachtelberg 17  14542 Werder,14542,640.0,770.0,2.0,61.0,1997,https://www.immonet.de/angebot/41599541
340,Lichtdruchflutete Wohnung im Boxhagener Kiez mit Balkon !,Boxhagener Straße 69  10245 Berlin,10245,1119.04,1342.85,2.0,69.94,1900,https://www.immonet.de/angebot/40721007
341,schicke 2-Zimmer-Wohnung in Borsigwalde,Jacobsenweg 12  13509 Berlin,13509,438.6,618.6,2.5,63.29,1930,https://www.immonet.de/angebot/41646821
342,Familiendomizil mit Wasserblick - Erstbezug in der Europacity!,10557 Berlin,10557,1950.0,2340.0,4.0,104.0,2020,https://www.immonet.de/angebot/41598131
343,"Große, helle Familienwohnung mit Badewanne und Balkon!",Janusz-Korczak-Str. 5  12627 Berlin,12627,699.0,906.0,3.0,70.28,1997,https://www.immonet.de/angebot/41588946
344,Einzigartige Turmwohnung mit 360° Aufdachterrasse!,"Malmöer Straße, WE51 24  10439 Berlin",10439,3250.0,3675.0,4.0,170.0,2019,https://www.immonet.de/angebot/39999323
345,Wohnung in Werder (Havel) Werder (Havel),14542 Werder,14542,NA,NaN,NA,NA,NA,https://www.immonet.de/angebot/41513620
346,"Exklusive Penthousewohnung mit 2 Zimmern, Tiefgaragenstellplatz und 24 m² Dachterrasse - Erstbezug",Kastanienallee 124  13158 Berlin,13158,1100.0,1422.0,2.0,61.29,2019,https://www.immonet.de/angebot/41141835
347,"ZUHAUSE FÜR GENIEßER MIT DACHGARTEN Luxuriöse 4-Zi-Whg im Berliner Stadtquartier ""SÜDKREUZ""",Quartiersweg 5  10829 Berlin,10829,1663.47,1939.07,4.0,98.43,2020,https://www.immonet.de/angebot/41494935
348,4 Zimmer in den Feuerlandhöfen!,Schwartzkopffstraße 7K  10115 Berlin,10115,1636.73,1881.93,4.0,95.08,2017,https://www.immonet.de/angebot/41621614
349,Repräsentative Dachgeschosswohnung am Lietzenseepark - frei ab sofort,Kaiserdamm 13  14057 Berlin,14057,3490.0,3876.0,5.0,190.0,1900,https://www.immonet.de/angebot/41493432
350,Alte Schönhauser Str 47 - denkmalgeschützter Berliner Altbau,Alte Schönhauser Str. 47  10119 Berlin,10119,2446.0,2856.0,3.0,122.3,1900,https://www.immonet.de/angebot/36653610
351,3D-Besichtigung anfordern: Kompakt mit allem Komfort wohnen,15831 Mahlow,15831,725.0,1160.0,2.0,58.0,2020,https://www.immonet.de/angebot/41080495
352,Wohnung im Grünen,12557 Berlin,12557,915.19,1060.97,2.5,80.99,2018,https://www.immonet.de/angebot/41581199
353,repräsentative 4 zi-whg vis-à-vis der museumsinsel aufzug concierge EBK balkon (23),10178 Berlin,10178,3216.57,3996.57,4.0,185.5,2004,https://www.immonet.de/angebot/41621046
354,Nice apartment with balcony for students !!,Heidestraße 19  10557 Berlin,10557,786.07,940.0,1.0,30.79,2019,https://www.immonet.de/angebot/41303000
355,möbliertes Luxus-Loft in Schöneberg - sofort bezugsfrei -,10779 Berlin,10779,2990.0,2990.0,2.0,130.0,1918,https://www.immonet.de/angebot/40804022
356,Altlandsberg | Charmante 1-Zimmer Wohnung mit Wohnküche | 55 Quadratmeter,15345 Altlandsberg,15345,557.0,623.45,1.0,55.7,NA,https://www.immonet.de/angebot/38734961
357,Renovierte 3 Zimmerwohnung in Hennigsdorf mit Balkon sucht neuen Mieter,An der Wildbahn 18  16761 Hennigsdorf,16761,594.0,NaN,3.0,66.0,1950,https://www.immonet.de/angebot/41589029
358,"1 Zimmer Wohnung zur Untermiete in Köpenick, befristet",Glienickerstraße  12557 Berlin,12557,366.0,550.0,1.0,39.0,NA,https://www.immonet.de/angebot/41639722
359,WBS erforderlich Handwerkerobjekt - Große 3-Zimmer-Wohnung sucht kreative Hände,Treptower Str. 12  12059 Berlin,12059,307.57,560.57,3.0,108.6,1905,https://www.immonet.de/angebot/41667247
360,Lichtdurchflutetes Dachgeschoss mit eigener Dachterrasse !,Stellingdamm 2  12555 Berlin,12555,1440.0,1644.0,2.0,120.0,1900,https://www.immonet.de/angebot/41168714
361,Großzügige Wohnung mit Platz für die ganze Familie,Am Panke Park 47  16321 Bernau,16321,1196.62,1668.97,4.0,157.45,1939,https://www.immonet.de/angebot/40217794
362,Schön geschnitten 2 ZiApartment mit Balkon und EBK,Hedwig-Porschütz-Straße 28  10557 Berlin,10557,1199.0,1399.0,2.0,58.0,2020,https://www.immonet.de/angebot/41665261
363,Traumhafte 2-Zimmer Wohnung mit  Terrasse und gehobener Ausstattung,Nesselweg 17  13158 Berlin,13158,810.0,1010.0,2.0,66.2,2020,https://www.immonet.de/angebot/41660699
364,Viel Raum für eigene Kreativität - Maisonettewohnung in Wendenschloss,12557 Berlin,12557,845.0,1083.0,1.5,67.53,1994,https://www.immonet.de/angebot/40892144
365,Dachgeschoss im traumhaft sanierten Altbau - 4 Zimmer in Köpenick,Flemmingstraße 9  12555 Berlin,12555,1270.0,1565.0,4.0,106.0,2013,https://www.immonet.de/angebot/41666313
366,Großzügige 2-Zimmer-Wohnung mit hochwertiger EBK und Loggia im modernen Quartier Heidestrasse,Heidestraße / Planstraße / Dreieckplatz .  10557 Berlin,10557,1181.0,NaN,2.0,63.53,2020,https://www.immonet.de/angebot/40965107
367,DG-Wohnung mit umlaufender Terrasse in Neubau-Villa mit Wasserzugang,Hubertusstr. 7  12589 Berlin,12589,1250.0,1410.0,NA,56.61,2019,https://www.immonet.de/angebot/41069216
368,"Teilgewerbliche Nutzung - Großzügige 2,5-Zimmerwohnung im Westen Berlins",Kaiserdamm 4  14057 Berlin,14057,1049.0,1209.0,2.5,81.0,1905,https://www.immonet.de/angebot/39847647
369,WG oder Familie - 3 Zimmer-Wohnung mit Durchgangszimmer zur Küche,Gerlachstraße 39  14480 Potsdam,14480,681.82,954.54,3.0,71.77,1997,https://www.immonet.de/angebot/41632906
370,IMMOBERLINDE - Ersteinzug zur Miete! Wohnung mit Süd- & Westbalkon bei der Spree,10557 Berlin,10557,1660.0,NaN,3.0,84.0,NA,https://www.immonet.de/angebot/41605454
371,Attraktive 3-Zimmer Erdgeschosswohnung zum exklusiven Erstbezug,Nesselweg 17  13158 Berlin,13158,1300.0,1590.0,3.0,96.33,2020,https://www.immonet.de/angebot/41660665
372,Modern Wohnen in den Feuerlandhöfen!,Chausseestraße 40  10115 Berlin,10115,1105.77,1269.97,2.0,62.68,2017,https://www.immonet.de/angebot/41631273
373,Sofort bezugsfertig: 3-Zimmer-Dachgeschosswohnung mit Balkon,Am Hohen Feld 125a  13125 Berlin,13125,1158.95,NaN,3.0,89.15,2018,https://www.immonet.de/angebot/41304296
374,Stilvoll Wohnen im Simon Palais an der Museumsinsel!,10117 Berlin,10117,NA,NaN,4.0,170.0,1911,https://www.immonet.de/angebot/41141749
375,Dachgeschoss 5-Zimmer-Neubauwohnung in Berlin Köpenick,12557 Berlin,12557,1650.0,2010.0,5.0,139.47,2006,https://www.immonet.de/angebot/41636609
376,helle mod 2-Zimmer-Wohnung mit Balkon und Kfz-Stellplatz,Breite Straße 21  14943 Luckenwalde,14943,440.0,660.0,2.0,72.81,NA,https://www.immonet.de/angebot/41079537
377,Penthousewohnung (2Zimmer) in der Zehlendorfer Villenkolonie von Kleinmachnow,14532 Kleinmachnow,14532,690.0,830.0,2.0,51.52,2018,https://www.immonet.de/angebot/41524009
378,Erstbezug im Neubauprojekt Neu House - 2 Zimmerwohnung mit Loggia in Südausrichtung und einer EBK,10969 Berlin,10969,1310.0,1435.0,2.0,43.1,2020,https://www.immonet.de/angebot/41653034
379,Lichtdurchflutete Wohnung im Kiez !,Sonntagstraße 1  10245 Berlin,10245,1085.04,1277.94,2.0,60.28,NA,https://www.immonet.de/angebot/41653324
380,2-Zimmer-Wohnung mit Terrasse in Ketzin/Havel zur Miete,Parkring 2  14669 Ketzin,14669,876.79,1045.4,2.0,73.31,2020,https://www.immonet.de/angebot/41103166
381,Sonniger und ruhiger Innenhof inklusive Viel Platz mit EBK und Erstbezug,Heidestraße 19  10557 Berlin,10557,1699.3,2025.88,3.0,108.86,2019,https://www.immonet.de/angebot/41477338
382,"Neubau nähe Potsdamer Platz, Duschbad, Parkett, EBK, Balkon, Fußbodenhzg, Aufzug",Stresemannstraße 59  10963 Berlin,10963,901.51,NaN,2.0,53.03,2019,https://www.immonet.de/angebot/39762249
383,Maisonette-Traum mit zwei Balkonen zum Wasser! Jetzt oder nie!,Heidestraße 19  10557 Berlin,10557,1999.23,2304.3,3.0,101.69,2019,https://www.immonet.de/angebot/41477530
384,3 ziwhg an der spree gg museumsinsel mit concierge aufzug balkon EBK TG (65),10178 Berlin,10178,2448.0,3078.0,3.0,150.0,2005,https://www.immonet.de/angebot/41621045
385,Hier können Sie die Sonne ausgiebig mit der ganzen Familie genießen!,Elisabeth-Feller-Weg 13  12205 Berlin,12205,2305.02,2591.53,4.5,171.76,2004,https://www.immonet.de/angebot/40747021
386,Quartier Heidestrasse: 4-Zimmer-Wohntraum im Herzen der Europacity,Heidestraße / Planstraße / Dreieckplatz .  10557 Berlin,10557,2864.67,NaN,4.0,144.17,2020,https://www.immonet.de/angebot/40965104
387,"Alles vorhanden, traumhafter Erstbezug",Rosenfelder Ring 150  10315 Berlin,10315,1481.77,1804.35,4.0,106.22,2020,https://www.immonet.de/angebot/41360335
388,Zentral Wohnen in modernisierter Wohnanlage,Armbrustweg 6  13409 Berlin,13409,350.11,471.11,2.0,54.13,1956,https://www.immonet.de/angebot/41660626
389,1-Raum-Wohnung am Neustadt Markt,14776 Brandenburg,14776,225.36,290.06,1.0,28.17,NA,https://www.immonet.de/angebot/41593862
390,Das perfekte DG-Raumwunder für Singles & Pärchen - mit Loggia & Fußbodenheizung!,Tiriotstraße 1  13127 Berlin,13127,571.0,744.0,2.0,56.68,1996,https://www.immonet.de/angebot/41625209
391,Möbliert Studio mit Balkon in Tempelhof-Schöneberg,Malteserstraße 148  12277 Berlin,12277,622.0,737.0,1.0,26.0,2019,https://www.immonet.de/angebot/41665813
392,Erstvermietung: hochwertige Wohnungen in Spreenähe,Flutstraße 5  12439 Berlin,12439,1073.77,1380.0,3.0,85.69,2019,https://www.immonet.de/angebot/41294361
393,Erstklassiges Familiendomizil am Richardplatz!,12055 Berlin,12055,1600.0,1854.0,4.0,91.0,2017,https://www.immonet.de/angebot/41509348
394,Sonnenhöfe: Das dritte Zimmer für mehr Flexibilität,Aldebaranstraße 2  12529 Schönefeld,12529,854.0,1085.0,3.0,72.33,2020,https://www.immonet.de/angebot/40533744
395,Eintreten und Wohlfühlen! Apartment in Pankow,13187 Berlin,13187,1050.0,1250.0,2.0,65.0,1910,https://www.immonet.de/angebot/41561848
396,Erstbezug! Hochwertige und großzügige 4-Zimmerwohnung nahe Alexanderplatz,Pauline-Staegemann-Str. 2  10249 Berlin,10249,2330.0,2730.0,4.0,116.42,2020,https://www.immonet.de/angebot/41020431
397,Mitte - 2 Stock - Möblierte Neubau Studio,Lehrter Straße24c  10557 Berlin,10557,649.0,829.0,1.0,22.35,2020,https://www.immonet.de/angebot/41665671
398,Helle Rollstuhlwohnung in zentraler Lage,Afrikanische Str. 8  13351 Berlin,13351,819.0,1078.0,2.0,86.03,1988,https://www.immonet.de/angebot/41418682
399,"Wohnung in Potsdam, Stadtteil Potsdam West, zu vermieten",Stormstraße 8  14471 Potsdam,14471,600.0,790.0,3.0,67.88,1935,https://www.immonet.de/angebot/41630574
400,***SCHLOSS PETZOW am Schwielowsee*** Wunderschöne 3-Zimmer-Wohnung mit Gartenterrasse!,Zelterstraße 5a  14542 Werder,14542,1014.89,1356.75,3.0,106.83,NA,https://www.immonet.de/angebot/41396925
401,renovierte Zweiraumwohnung an der Oberbaumbrücke !,Warschauer Straße 46  10243 Berlin,10243,1072.53,1274.42,2.0,63.09,1900,https://www.immonet.de/angebot/41617976
402,"Neue Wohnung, neues Glück! Ansprechende 2-Zi-Wohnung",Ernst-Thälmann-Platz 13a  14641 Wustermark,14641,695.81,835.08,2.0,56.25,2019,https://www.immonet.de/angebot/41558607
403,Günstiges Wohnen für Senioren (60+) - WBS für alte Menschen erforderlich,Selgenauer Weg 4  12355 Berlin,12355,218.41,337.41,1.0,36.29,1975,https://www.immonet.de/angebot/41650010
404,Wohnen im Sony-Center !! Möblierte 2-Zimmerwohnung mit tollem Grundriss und Concierge-Service in Top-Lage !!,Bellevuestraße  10785 Berlin,10785,1250.0,1650.0,2.0,61.0,1999,https://www.immonet.de/angebot/39544257
405,Kompakte Erdgeschoßwohnung smit Wohnküche im EG,Baruther Str. 13  15806 Zossen,15806,563.88,697.99,2.0,60.96,NA,https://www.immonet.de/angebot/39066307
406,Schick möblierte Studio-Wohnung - Nähe des Bellevue-Schlosses,10557 Berlin,10557,NA,1150.0,2.0,50.0,1958,https://www.immonet.de/angebot/41581794
