base_rent,qm,plz,rent_per_qm,data_set
1199.00,90.66,12529,13.23,immonet
475.00,49.65,14612,9.57,immonet
1270.58,74.74,14467,17.00,immonet
1290.00,55.00,13585,23.45,immonet
610.09,47.85,15831,12.75,immonet
580.00,44.00,10405,13.18,immonet
690.00,70.44,13127,9.80,immonet
3265.42,143.54,10179,22.75,immonet
750.00,59.62,10719,12.58,immonet
844.25,91.00,12247,9.28,immonet
1130.00,85.32,13158,13.24,immonet
1598.67,103.14,10315,15.50,immonet
2019.68,115.41,14467,17.50,immonet
1719.32,99.44,10557,17.29,immonet
3600.00,157.00,10557,22.93,immonet
288.80,44.43,12627,6.50,immonet
450.08,56.26,13599,8.00,immonet
520.00,58.00,16515,8.97,immonet
770.00,94.21,14822,8.17,immonet
1189.00,61.00,14197,19.49,immonet
447.18,57.70,14943,7.75,immonet
5100.00,123.00,10117,41.46,immonet
549.50,78.50,14943,7.00,immonet
459.00,39.48,12627,11.63,immonet
728.61,30.98,10179,23.52,immonet
1670.00,123.86,15738,13.48,immonet
470.00,81.00,14943,5.80,immonet
3000.00,176.00,10115,17.05,immonet
1450.00,88.00,12161,16.48,immonet
944.00,75.51,10999,12.50,immonet
650.00,40.00,10557,16.25,immonet
1410.72,90.24,13581,15.63,immonet
2197.00,121.00,10557,18.16,immonet
441.00,62.88,14641,7.01,immonet
4200.00,163.00,10557,25.77,immonet
1247.16,69.10,10179,18.05,immonet
1050.00,91.07,15537,11.53,immonet
674.00,56.00,12557,12.04,immonet
1590.00,86.55,10249,18.37,immonet
1050.00,43.55,10785,24.11,immonet
518.00,79.61,15806,6.51,immonet
442.33,69.19,14943,6.39,immonet
1049.00,96.74,12529,10.84,immonet
1455.46,84.62,10557,17.20,immonet
1170.00,88.61,13581,13.20,immonet
1044.05,96.10,14641,10.86,immonet
1840.00,108.00,14089,17.04,immonet
1299.00,103.48,12529,12.55,immonet
1872.60,124.84,10117,15.00,immonet
670.00,54.60,16515,12.27,immonet
888.44,63.46,10315,14.00,immonet
777.00,105.00,13595,7.40,immonet
1360.00,66.69,10249,20.39,immonet
535.92,20.56,13353,26.07,immonet
1496.06,90.67,10557,16.50,immonet
651.00,66.03,10315,9.86,immonet
989.52,107.44,15745,9.21,immonet
434.78,56.10,14943,7.75,immonet
687.00,68.70,14776,10.00,immonet
2349.00,123.79,12555,18.98,immonet
1249.00,33.21,14199,37.61,immonet
729.00,70.74,13057,10.31,immonet
778.50,25.95,10967,30.00,immonet
1400.00,72.55,10249,19.30,immonet
9500.00,462.00,10117,20.56,immonet
1227.00,62.77,10557,19.55,immonet
520.00,65.03,14959,8.00,immonet
420.40,42.40,13595,9.92,immonet
1200.00,110.00,16761,10.91,immonet
1340.38,107.23,14542,12.50,immonet
684.96,71.35,14480,9.60,immonet
1412.95,97.45,10315,14.50,immonet
644.11,19.07,10179,33.78,immonet
2175.00,119.85,10249,18.15,immonet
586.50,69.00,16515,8.50,immonet
1480.00,102.56,13409,14.43,immonet
469.00,14.00,12205,33.50,immonet
1490.00,85.00,10785,17.53,immonet
1440.00,104.52,13581,13.78,immonet
1750.48,100.66,10557,17.39,immonet
1000.26,96.55,14641,10.36,immonet
860.00,55.79,13581,15.41,immonet
870.00,87.00,15537,10.00,immonet
659.09,23.62,10179,27.90,immonet
1690.00,71.00,10969,23.80,immonet
1600.00,94.00,10785,17.02,immonet
1206.57,101.82,15745,11.85,immonet
613.41,53.34,14641,11.50,immonet
2458.41,144.61,10115,17.00,immonet
2300.00,111.40,10707,20.65,immonet
1583.40,109.20,14050,14.50,immonet
1825.00,126.82,10557,14.39,immonet
1094.80,64.40,14467,17.00,immonet
735.84,53.00,10315,13.88,immonet
1142.09,95.02,12439,12.02,immonet
472.58,38.05,14641,12.42,immonet
619.00,68.04,12627,9.10,immonet
1435.07,78.85,10829,18.20,immonet
310.00,44.00,16227,7.05,immonet
1450.44,85.12,10557,17.04,immonet
4360.00,172.00,10777,25.35,immonet
1878.00,197.59,15344,9.50,immonet
599.00,20.00,10965,29.95,immonet
2275.00,182.00,14469,12.50,immonet
1400.00,84.64,14199,16.54,immonet
794.43,61.11,15831,13.00,immonet
1200.00,150.00,16727,8.00,immonet
641.55,42.77,12555,15.00,immonet
1544.00,72.64,10245,21.26,immonet
330.00,30.00,16515,11.00,immonet
600.00,40.00,12555,15.00,immonet
400.00,42.51,14542,9.41,immonet
1460.98,74.50,10829,19.61,immonet
1310.00,93.40,12487,14.03,immonet
980.00,52.79,10997,18.56,immonet
1875.00,117.23,10557,15.99,immonet
689.00,54.44,12529,12.66,immonet
1558.26,115.91,10117,13.44,immonet
1419.00,129.00,15344,11.00,immonet
3459.52,182.00,10439,19.01,immonet
453.56,38.05,14641,11.92,immonet
900.00,84.00,12277,10.71,immonet
2504.74,173.94,12051,14.40,immonet
538.00,19.34,10179,27.82,immonet
1125.00,102.35,13629,10.99,immonet
1477.00,118.17,12353,12.50,immonet
9500.00,400.00,14193,23.75,immonet
1650.00,103.33,12163,15.97,immonet
1000.00,74.95,13156,13.34,immonet
1930.00,93.20,14059,20.71,immonet
940.00,67.66,13581,13.89,immonet
901.77,66.29,12489,13.60,immonet
1270.00,110.72,13581,11.47,immonet
1650.00,93.00,10785,17.74,immonet
1650.00,73.00,10557,22.60,immonet
769.00,84.77,12627,9.07,immonet
473.24,60.75,10555,7.79,immonet
1648.43,95.34,10557,17.29,immonet
1200.00,3016.00,14163,0.40,immonet
669.00,69.86,12627,9.58,immonet
3058.60,203.10,10178,15.06,immonet
363.00,33.00,13359,11.00,immonet
850.00,54.00,13509,15.74,immonet
659.00,68.93,12629,9.56,immonet
1249.00,31.80,14199,39.28,immonet
2000.00,92.00,14059,21.74,immonet
865.00,72.35,12529,11.96,immonet
549.90,61.10,14776,9.00,immonet
879.00,72.35,12529,12.15,immonet
3100.00,152.00,10179,20.39,immonet
486.00,72.24,10178,6.73,immonet
700.00,77.50,14542,9.03,immonet
696.28,53.54,14165,13.00,immonet
882.35,121.00,14776,7.29,immonet
359.93,67.86,12045,5.30,immonet
335.00,47.78,16227,7.01,immonet
629.00,54.80,12629,11.48,immonet
858.75,86.00,10707,9.99,immonet
5309.75,212.39,10707,25.00,immonet
900.00,50.35,12053,17.87,immonet
2300.00,145.00,10439,15.86,immonet
1149.00,32.94,14199,34.88,immonet
1015.00,92.22,13591,11.01,immonet
647.73,47.98,12526,13.50,immonet
2085.15,91.66,10179,22.75,immonet
1425.00,80.72,10249,17.65,immonet
1100.00,120.00,14513,9.17,immonet
1870.00,75.00,10178,24.93,immonet
3181.10,212.10,14467,15.00,immonet
900.00,91.00,15749,9.89,immonet
749.00,74.15,13125,10.10,immonet
540.00,20.50,13355,26.34,immonet
449.00,33.54,12629,13.39,immonet
366.50,20.50,14469,17.88,immonet
312.00,51.99,16227,6.00,immonet
769.00,70.68,13057,10.88,immonet
1998.98,121.15,10557,16.50,immonet
982.22,85.54,12555,11.48,immonet
1323.20,66.16,10997,20.00,immonet
1155.00,101.50,16515,11.38,immonet
997.50,105.00,13585,9.50,immonet
1615.00,92.37,10557,17.48,immonet
700.00,41.00,14195,17.07,immonet
530.00,20.50,13355,25.85,immonet
498.95,58.70,15806,8.50,immonet
1148.00,85.01,14542,13.50,immonet
659.00,58.07,12529,11.35,immonet
1190.00,56.84,10557,20.94,immonet
1207.00,46.75,10557,25.82,immonet
1525.00,82.27,10249,18.54,immonet
1020.00,70.22,14548,14.53,immonet
899.00,85.53,12529,10.51,immonet
800.00,72.00,15741,11.11,immonet
650.00,65.00,13505,10.00,immonet
802.22,75.38,12685,10.64,immonet
2000.00,91.00,15711,21.98,immonet
1330.44,53.23,10115,24.99,immonet
505.63,69.36,12309,7.29,immonet
4360.00,171.80,10777,25.38,immonet
535.00,53.00,13353,10.09,immonet
739.44,72.00,12557,10.27,immonet
464.00,58.00,16515,8.00,immonet
293.00,43.70,14641,6.70,immonet
699.00,36.00,12555,19.42,immonet
460.00,68.60,14641,6.71,immonet
1210.00,115.39,13465,10.49,immonet
3475.00,178.40,14059,19.48,immonet
1750.00,119.00,12623,14.71,immonet
800.00,55.00,10781,14.55,immonet
2146.38,122.65,10557,17.50,immonet
856.65,67.40,15745,12.71,immonet
498.50,33.21,15370,15.01,immonet
779.00,67.99,12529,11.46,immonet
5000.00,200.00,10787,25.00,immonet
1500.00,79.65,12207,18.83,immonet
844.74,93.86,14480,9.00,immonet
1117.50,37.25,10249,30.00,immonet
740.00,28.00,14195,26.43,immonet
1379.50,55.18,12587,25.00,immonet
631.80,36.12,12489,17.49,immonet
1121.58,83.08,12526,13.50,immonet
2500.00,139.00,10557,17.99,immonet
890.00,50.78,10557,17.53,immonet
1600.00,105.00,12527,15.24,immonet
990.00,90.00,10711,11.00,immonet
1093.00,119.88,15711,9.12,immonet
1200.00,141.00,13591,8.51,immonet
659.00,70.15,12627,9.39,immonet
1170.00,91.90,13581,12.73,immonet
1065.00,65.36,14199,16.29,immonet
1149.00,30.77,14199,37.34,immonet
612.15,46.20,15831,13.25,immonet
700.00,74.95,14548,9.34,immonet
1698.00,150.00,14195,11.32,immonet
970.68,54.07,10585,17.95,immonet
1211.42,71.26,10243,17.00,immonet
2977.94,143.52,10179,20.75,immonet
1020.00,29.13,14193,35.02,immonet
1737.29,70.91,10711,24.50,immonet
4650.00,218.00,10115,21.33,immonet
888.00,78.95,12055,11.25,immonet
690.91,48.00,10315,14.39,immonet
1015.13,69.00,10315,14.71,immonet
638.55,58.05,15344,11.00,immonet
606.00,62.38,12587,9.71,immonet
420.00,57.42,14641,7.31,immonet
480.00,23.50,10319,20.43,immonet
562.05,37.47,12489,15.00,immonet
