base_rent,qm,plz,rent_per_qm,data_set
1650.00,126.70,12459,13.02,immonet
1350.00,92.00,10117,14.67,immonet
390.00,58.00,16230,6.72,immonet
1739.09,96.67,10557,17.99,immonet
1190.95,94.52,15745,12.60,immonet
640.00,54.12,12529,11.83,immonet
275.00,35.44,14776,7.76,immonet
1550.00,97.93,12459,15.83,immonet
320.00,20.87,14476,15.33,immonet
1270.00,79.20,10629,16.04,immonet
649.00,71.27,13051,9.11,immonet
965.00,60.98,14199,15.82,immonet
1800.00,82.50,10435,21.82,immonet
1637.91,98.02,10557,16.71,immonet
633.33,68.10,14480,9.30,immonet
1178.85,40.65,10249,29.00,immonet
491.88,68.88,12359,7.14,immonet
850.00,95.10,13156,8.94,immonet
1340.00,89.26,14199,15.01,immonet
491.00,51.72,15344,9.49,immonet
360.00,16.15,14471,22.29,immonet
698.29,56.45,14641,12.37,immonet
1850.00,91.00,10785,20.33,immonet
557.15,55.00,12205,10.13,immonet
1653.00,87.00,14467,19.00,immonet
640.00,29.70,10315,21.55,immonet
1901.84,91.66,10179,20.75,immonet
313.69,48.26,14641,6.50,immonet
1542.87,91.57,10179,16.85,immonet
940.00,42.29,10249,22.23,immonet
1126.14,98.00,14197,11.49,immonet
595.00,56.00,12683,10.63,immonet
1435.48,78.02,10179,18.40,immonet
320.72,54.84,13583,5.85,immonet
1534.00,77.66,10557,19.75,immonet
1980.00,110.00,10249,18.00,immonet
629.38,66.25,14480,9.50,immonet
589.71,71.48,14776,8.25,immonet
565.88,67.77,14480,8.35,immonet
899.00,91.11,10315,9.87,immonet
700.00,41.00,14089,17.07,immonet
1370.00,59.57,10179,23.00,immonet
650.28,68.45,14480,9.50,immonet
440.00,61.20,16227,7.19,immonet
2720.00,68.00,10117,40.00,immonet
3185.54,168.00,10439,18.96,immonet
859.00,72.33,12529,11.88,immonet
949.00,29.95,10557,31.69,immonet
1005.35,101.55,13089,9.90,immonet
1069.81,110.57,12307,9.68,immonet
656.00,52.50,12247,12.50,immonet
880.00,80.00,16321,11.00,immonet
1250.00,78.00,12487,16.03,immonet
699.00,56.98,13125,12.27,immonet
2141.64,134.02,10557,15.98,immonet
1236.00,85.00,10625,14.54,immonet
1246.17,69.04,10179,18.05,immonet
1020.00,79.70,13055,12.80,immonet
1942.50,129.50,13581,15.00,immonet
3199.00,156.10,10179,20.49,immonet
550.00,47.00,13407,11.70,immonet
1800.00,96.60,10405,18.63,immonet
990.00,47.48,10557,20.85,immonet
5540.64,131.92,10115,42.00,immonet
1625.00,82.83,10249,19.62,immonet
862.00,72.33,12529,11.92,immonet
757.32,81.58,12305,9.28,immonet
885.00,59.00,14052,15.00,immonet
918.00,108.00,16556,8.50,immonet
464.69,24.25,12459,19.16,immonet
924.03,71.63,15745,12.90,immonet
1199.00,93.93,12529,12.76,immonet
1165.00,65.60,10557,17.76,immonet
