,Price,Size(m²),Price_per_m²
218,1571.4,87.3,18.0
219,1218.92,90.29,13.5
220,1190.0,88.61,13.43
221,739.0,78.24,9.45
222,1405.0,79.33,17.71
223,4200.0,163.0,25.77
224,288.8,44.43,6.5
225,1400.0,86.0,16.28
226,1000.0,74.95,13.34
227,844.25,91.0,9.28
228,3111.0,160.0,19.44
229,420.0,19.0,22.11
230,1625.0,82.83,19.62
231,515.77,70.75,7.29
232,459.0,35.69,12.86
233,840.15,59.27,14.17
234,5100.0,123.0,41.46
235,1299.0,55.0,23.62
236,1520.0,81.37,18.68
237,980.0,69.08,14.19
238,1314.12,80.0,16.43
239,1195.0,99.63,11.99
240,630.0,63.0,10.0
241,1050.0,43.55,24.11
242,970.68,54.07,17.95
243,1600.0,94.0,17.02
244,4732.0,182.0,26.0
245,1249.0,31.07,40.2
246,792.99,29.4,26.97
247,370.0,60.15,6.15
248,442.33,69.19,6.39
249,1330.85,73.94,18.0
250,1942.5,129.5,15.0
251,1067.89,102.88,10.38
252,364.76,51.96,7.02
253,631.8,36.12,17.49
254,1525.0,82.27,18.54
255,1699.3,108.86,15.61
256,1181.0,63.53,18.59
257,579.0,53.98,10.73
258,1491.66,82.87,18.0
259,294.2,29.4,10.01
260,800.0,72.0,11.11
261,719.0,74.34,9.67
262,494.22,65.17,7.58
263,281.5,40.1,7.02
264,1200.0,103.93,11.55
265,1018.5,33.95,30.0
266,1200.0,60.0,20.0
267,380.0,40.0,9.5
268,935.0,55.0,17.0
269,890.0,51.0,17.45
270,979.0,101.73,9.62
271,773.0,70.0,11.04
272,769.0,84.77,9.07
273,557.0,55.7,10.0
274,2299.0,129.59,17.74
275,980.0,90.7,10.8
276,1148.0,85.01,13.5
277,725.0,58.0,12.5
278,518.82,22.9,22.66
279,1486.52,104.81,14.18
280,856.04,26.79,31.95
281,293.0,43.7,6.7
282,500.0,77.0,6.49
283,979.53,55.66,17.6
284,1249.0,98.99,12.62
285,936.0,80.0,11.7
286,950.0,50.0,19.0
287,499.0,37.21,13.41
288,1450.0,73.0,19.86
289,630.23,66.34,9.5
290,1200.0,80.05,14.99
