base_rent,qm,rent_per_qm,rent_per_qm,data_set
799.00,36.00,12555,22.19,immoscout
847.00,30.00,12277,28.23,immoscout
2900.00,158.85,14193,18.26,immoscout
999.00,52.00,12277,19.21,immoscout
1291.00,54.61,10317,23.64,immoscout
460.00,19.50,13347,23.59,immoscout
614.00,75.00,13125,8.19,immoscout
1500.00,105.00,10963,14.29,immoscout
2350.00,90.00,10245,26.11,immoscout
2350.00,90.00,10245,26.11,immoscout
2350.00,90.00,10245,26.11,immoscout
1300.00,47.14,10245,27.58,immoscout
1300.00,47.14,10245,27.58,immoscout
1300.00,47.14,10245,27.58,immoscout
746.58,64.72,12359,11.54,immoscout
750.00,65.00,13403,11.54,immoscout
746.58,64.72,12359,11.54,immoscout
325.98,36.22,12687,9.00,immoscout
843.00,62.00,10779,13.60,immoscout
337.66,33.80,12687,9.99,immoscout
755.54,75.63,12687,9.99,immoscout
337.66,33.80,12687,9.99,immoscout
905.28,56.58,13187,16.00,immoscout
349.97,67.43,12689,5.19,immoscout
337.66,33.80,12687,9.99,immoscout
452.88,74.98,12679,6.04,immoscout
482.13,64.37,10627,7.49,immoscout
300.66,41.45,13347,7.25,immoscout
2646.13,139.24,10785,19.00,immoscout
1100.00,91.00,10317,12.09,immoscout
800.00,80.00,14193,10.00,immoscout
930.00,85.00,12357,10.94,immoscout
1000.00,81.00,10115,12.35,immoscout
920.00,98.50,12459,9.34,immoscout
718.00,73.44,12307,9.78,immoscout
1300.00,70.00,10179,18.57,immoscout
620.00,12.00,10557,51.67,immoscout
964.98,66.00,12051,14.62,immoscout
495.00,65.00,14089,7.62,immoscout
1392.00,92.00,12051,15.13,immoscout
930.00,65.00,10707,14.31,immoscout
1232.00,88.00,12459,14.00,immoscout
1498.00,89.00,10439,16.83,immoscout
2350.00,144.00,14193,16.32,immoscout
1057.00,68.22,12051,15.49,immoscout
800.00,16.00,10785,50.00,immoscout
370.00,51.00,13583,7.25,immoscout
993.00,66.21,12051,15.00,immoscout
1280.00,100.00,14165,12.80,immoscout
520.00,60.93,12557,8.53,immoscout
1697.00,83.00,10557,20.45,immoscout
1358.00,58.00,10557,23.41,immoscout
800.00,65.00,12555,12.31,immoscout
1047.00,80.00,14167,13.09,immoscout
365.82,33.50,13585,10.92,immoscout
327.69,30.00,13585,10.92,immoscout
669.00,64.67,13467,10.34,immoscout
894.37,60.64,10315,14.75,immoscout
1650.00,105.00,10318,15.71,immoscout
660.00,42.00,12047,15.71,immoscout
650.00,18.60,13357,34.95,immoscout
1525.00,111.00,12527,13.74,immoscout
1650.00,55.00,10963,30.00,immoscout
960.00,59.00,10115,16.27,immoscout
900.00,82.00,12207,10.98,immoscout
2118.29,108.63,10585,19.50,immoscout
1731.00,94.00,10965,18.41,immoscout
1450.00,47.00,10963,30.85,immoscout
999.00,48.00,10115,20.81,immoscout
1649.70,103.30,13347,15.97,immoscout
1950.00,73.00,10963,26.71,immoscout
1020.00,65.00,12159,15.69,immoscout
1050.00,60.00,10557,17.50,immoscout
950.00,76.50,10779,12.42,immoscout
934.00,50.00,10969,18.68,immoscout
2400.00,145.00,10439,16.55,immoscout
502.05,32.39,10315,15.50,immoscout
1484.00,106.00,12555,14.00,immoscout
1695.00,133.00,14167,12.74,immoscout
1450.00,98.00,10559,14.80,immoscout
960.00,50.00,10179,19.20,immoscout
730.00,73.00,12309,10.00,immoscout
820.00,42.50,10179,19.29,immoscout
950.00,41.00,10243,23.17,immoscout
2750.00,140.00,10623,19.64,immoscout
2130.48,96.84,10439,22.00,immoscout
1370.00,82.00,10179,16.71,immoscout
1500.00,83.67,12053,17.93,immoscout
980.00,58.30,10557,16.81,immoscout
925.00,50.20,10179,18.43,immoscout
4000.00,195.00,10963,20.51,immoscout
485.00,42.50,10318,11.41,immoscout
1272.30,95.70,14193,13.29,immoscout
674.50,61.28,10785,11.01,immoscout
1131.30,65.85,10243,17.18,immoscout
475.50,55.64,10315,8.55,immoscout
1755.00,80.00,10785,21.94,immoscout
1032.00,102.65,13595,10.05,immoscout
1522.08,84.56,10243,18.00,immoscout
1332.00,135.63,14052,9.82,immoscout
1469.00,129.18,10785,11.37,immoscout
1100.00,80.00,10179,13.75,immoscout
1500.00,95.00,13507,15.79,immoscout
1100.00,61.91,14199,17.77,immoscout
1400.00,66.40,10785,21.08,immoscout
400.00,35.00,14195,11.43,immoscout
500.00,59.00,12559,8.47,immoscout
1245.00,60.00,10557,20.75,immoscout
1498.00,82.00,10557,18.27,immoscout
1073.00,32.00,10557,33.53,immoscout
1230.00,58.00,10557,21.21,immoscout
1573.00,67.00,10179,23.48,immoscout
1348.00,60.00,10557,22.47,immoscout
2000.00,210.00,13053,9.52,immoscout
1697.00,83.00,10557,20.45,immoscout
799.00,36.00,12555,22.19,immoscout
847.00,30.00,12277,28.23,immoscout
760.00,29.12,12555,26.10,immoscout
999.00,52.00,12277,19.21,immoscout
1450.00,85.31,10179,17.00,immoscout
1198.00,55.02,10777,21.77,immoscout
2100.00,139.75,13585,15.03,immoscout
521.00,32.00,10245,16.28,immoscout
1291.00,54.61,10317,23.64,immoscout
909.00,82.00,10965,11.09,immoscout
1100.00,72.00,10559,15.28,immoscout
490.00,70.21,13403,6.98,immoscout
2225.00,90.00,10117,24.72,immoscout
3264.00,167.36,10785,19.50,immoscout
2190.00,112.27,10785,19.51,immoscout
3111.00,160.00,10785,19.44,immoscout
952.00,68.00,13189,14.00,immoscout
675.00,32.00,10587,21.09,immoscout
2050.00,108.50,10179,18.89,immoscout
690.00,69.00,14109,10.00,immoscout
695.00,32.00,10557,21.72,immoscout
1200.00,59.00,10629,20.34,immoscout
1800.00,94.00,10785,19.15,immoscout
1188.00,66.00,10407,18.00,immoscout
360.00,36.00,13595,10.00,immoscout
1370.00,70.00,12209,19.57,immoscout
1050.00,80.00,13505,13.13,immoscout
338.33,41.00,12057,8.25,immoscout
580.05,101.00,13595,5.74,immoscout
1045.00,62.00,10243,16.85,immoscout
361.92,60.00,13589,6.03,immoscout
668.22,86.00,13435,7.77,immoscout
2717.13,194.00,10707,14.01,immoscout
1340.00,120.00,13156,11.17,immoscout
520.00,39.40,13583,13.20,immoscout
698.00,38.78,13086,18.00,immoscout
1100.00,86.98,13583,12.65,immoscout
1150.00,122.00,12277,9.43,immoscout
1625.00,137.31,12055,11.83,immoscout
1787.00,119.00,10178,15.02,immoscout
751.48,71.57,12555,10.50,immoscout
1148.96,71.81,13187,16.00,immoscout
1400.00,85.00,10317,16.47,immoscout
650.00,25.00,13089,26.00,immoscout
1600.00,105.00,10707,15.24,immoscout
1695.00,98.00,13355,17.30,immoscout
2148.00,143.13,10551,15.01,immoscout
1580.00,96.12,10115,16.44,immoscout
2190.00,98.00,10119,22.35,immoscout
780.30,45.00,12555,17.34,immoscout
969.60,64.64,10585,15.00,immoscout
427.00,50.26,12555,8.50,immoscout
999.00,54.00,10555,18.50,immoscout
2312.00,136.00,10777,17.00,immoscout
1484.00,53.00,10777,28.00,immoscout
252.81,48.50,13055,5.21,immoscout
4790.00,171.80,10777,27.88,immoscout
459.90,82.50,13053,5.57,immoscout
951.76,91.00,13055,10.46,immoscout
358.83,57.00,13055,6.30,immoscout
304.05,50.50,13051,6.02,immoscout
294.03,48.50,13055,6.06,immoscout
975.00,84.30,12559,11.57,immoscout
1422.00,149.00,13439,9.54,immoscout
577.03,58.00,13587,9.95,immoscout
649.00,48.43,12051,13.40,immoscout
1029.00,77.48,12107,13.28,immoscout
689.00,56.36,13127,12.22,immoscout
1309.66,59.53,10115,22.00,immoscout
2274.98,71.09,10115,32.00,immoscout
1577.34,68.58,10115,23.00,immoscout
1020.00,67.00,13086,15.22,immoscout
2091.94,65.37,10115,32.00,immoscout
1577.34,68.58,10115,23.00,immoscout
1605.82,50.18,10115,32.00,immoscout
1664.00,104.10,10245,15.98,immoscout
882.34,97.00,13129,9.10,immoscout
850.00,62.69,12683,13.56,immoscout
400.00,38.88,12357,10.29,immoscout
1027.86,70.62,10117,14.55,immoscout
1000.00,70.00,12167,14.29,immoscout
1509.98,110.91,10117,13.61,immoscout
1514.49,114.80,10117,13.19,immoscout
1068.00,89.00,12555,12.00,immoscout
960.00,46.00,10969,20.87,immoscout
2140.00,130.55,12524,16.39,immoscout
790.00,33.00,14199,23.94,immoscout
2354.00,204.00,10711,11.54,immoscout
1590.00,52.25,10789,30.43,immoscout
1270.00,95.57,13158,13.29,immoscout
655.97,96.00,13405,6.83,immoscout
830.00,65.30,13158,12.71,immoscout
276.91,37.00,12057,7.48,immoscout
700.00,46.00,14059,15.22,immoscout
880.00,44.00,14199,20.00,immoscout
523.23,54.61,12349,9.58,immoscout
414.86,51.00,10585,8.13,immoscout
974.30,101.57,13507,9.59,immoscout
4200.00,116.00,10623,36.21,immoscout
770.00,56.57,13158,13.61,immoscout
1130.00,76.46,13158,14.78,immoscout
1130.00,85.32,13158,13.24,immoscout
990.00,55.00,10245,18.00,immoscout
1640.00,122.91,13158,13.34,immoscout
1670.00,122.92,13158,13.59,immoscout
540.00,36.68,10318,14.72,immoscout
580.00,39.58,10318,14.65,immoscout
1700.00,150.00,13507,11.33,immoscout
490.00,39.00,10551,12.56,immoscout
1590.00,98.00,10785,16.22,immoscout
999.00,27.75,13407,36.00,immoscout
692.00,44.00,14050,15.73,immoscout
990.00,53.36,10437,18.55,immoscout
509.75,51.49,12619,9.90,immoscout
1347.00,110.00,12524,12.25,immoscout
1655.80,116.00,12051,14.27,immoscout
1275.00,155.32,13465,8.21,immoscout
1400.00,81.12,14199,17.26,immoscout
473.48,68.00,13351,6.96,immoscout
587.38,64.00,12207,9.18,immoscout
850.00,48.74,13595,17.44,immoscout
1550.00,100.47,10585,15.43,immoscout
730.00,63.00,12555,11.59,immoscout
