base_rent,qm,rent_per_qm,rent_per_qm,data_set
1750.81,96.73,10557,18.10,immoscout
1730.20,96.93,10557,17.85,immoscout
1335.48,107.25,13467,12.45,immoscout
2200.00,100.46,10711,21.90,immoscout
2365.00,98.00,10789,24.13,immoscout
860.00,48.00,10247,17.92,immoscout
1397.40,76.57,10557,18.25,immoscout
3315.00,138.00,10117,24.02,immoscout
1560.00,80.90,10179,19.28,immoscout
492.00,24.00,12489,20.50,immoscout
1150.00,90.00,13465,12.78,immoscout
1900.00,130.00,10997,14.62,immoscout
850.00,75.00,10247,11.33,immoscout
689.99,79.00,13089,8.73,immoscout
1336.02,75.91,10115,17.60,immoscout
2873.56,151.00,10439,19.03,immoscout
2442.50,228.27,14199,10.70,immoscout
1222.00,47.00,10711,26.00,immoscout
1854.81,92.05,10557,20.15,immoscout
2149.92,119.44,10557,18.00,immoscout
1543.56,81.67,10557,18.90,immoscout
2487.88,121.36,10557,20.50,immoscout
2990.00,120.00,10963,24.92,immoscout
1528.55,81.96,10557,18.65,immoscout
1583.50,86.06,10557,18.40,immoscout
610.00,61.00,13581,10.00,immoscout
1030.00,81.50,12623,12.64,immoscout
1336.02,75.91,10115,17.60,immoscout
478.98,30.47,14167,15.72,immoscout
545.00,23.16,10178,23.53,immoscout
1250.00,56.61,12589,22.08,immoscout
2200.00,109.00,10245,20.18,immoscout
2442.88,111.00,10245,22.01,immoscout
2980.00,142.00,10245,20.99,immoscout
2200.00,107.00,10245,20.56,immoscout
2824.03,131.00,10245,21.56,immoscout
2800.00,174.93,12589,16.01,immoscout
1686.60,112.44,10785,15.00,immoscout
1698.00,101.02,10785,16.81,immoscout
1999.00,125.20,10179,15.97,immoscout
785.03,58.15,12489,13.50,immoscout
464.69,24.25,12459,19.16,immoscout
1252.00,64.14,10557,19.52,immoscout
1251.06,89.17,14167,14.03,immoscout
1045.66,74.53,14167,14.03,immoscout
2491.00,99.65,10405,25.00,immoscout
322.41,37.93,12629,8.50,immoscout
1614.62,84.98,10557,19.00,immoscout
1300.00,57.00,10119,22.81,immoscout
1349.00,51.00,14059,26.45,immoscout
1099.00,43.00,14059,25.56,immoscout
420.00,20.30,13089,20.69,immoscout
1295.00,64.00,10963,20.23,immoscout
1935.00,122.00,14193,15.86,immoscout
2700.00,169.53,10629,15.93,immoscout
2780.00,173.79,10629,16.00,immoscout
1250.00,129.53,13088,9.65,immoscout
868.00,65.54,13051,13.24,immoscout
2400.00,100.00,14199,24.00,immoscout
1836.00,153.00,10365,12.00,immoscout
3440.00,176.50,10117,19.49,immoscout
2457.80,122.89,12587,20.00,immoscout
1600.00,55.00,10587,29.09,immoscout
1680.00,75.00,10777,22.40,immoscout
598.90,59.89,12587,10.00,immoscout
950.00,67.86,12559,14.00,immoscout
1632.00,136.00,10785,12.00,immoscout
1640.00,102.41,14199,16.01,immoscout
3670.00,153.00,14193,23.99,immoscout
1495.62,106.83,10117,14.00,immoscout
1872.60,124.84,10117,15.00,immoscout
1960.75,126.50,10117,15.50,immoscout
1810.00,121.91,10625,14.85,immoscout
1390.00,73.78,10117,18.84,immoscout
621.51,72.00,13089,8.63,immoscout
1250.00,87.00,12487,14.37,immoscout
483.28,56.00,13507,8.63,immoscout
2565.00,171.00,13086,15.00,immoscout
3800.00,200.00,10787,19.00,immoscout
1440.00,80.00,12051,18.00,immoscout
1710.00,95.00,12051,18.00,immoscout
4400.00,123.00,10117,35.77,immoscout
717.27,77.88,12207,9.21,immoscout
5100.00,123.00,10117,41.46,immoscout
1199.00,52.00,10711,23.06,immoscout
1390.00,55.00,10707,25.27,immoscout
875.00,35.00,10707,25.00,immoscout
1730.00,93.00,10785,18.60,immoscout
1543.19,81.65,10557,18.90,immoscout
2131.92,101.52,10557,21.00,immoscout
2720.00,68.00,10117,40.00,immoscout
1095.00,68.63,10825,15.96,immoscout
1444.64,99.63,10711,14.50,immoscout
1450.00,102.00,10117,14.22,immoscout
2200.00,131.19,10787,16.77,immoscout
1854.81,92.05,10557,20.15,immoscout
1813.37,98.02,10557,18.50,immoscout
3582.00,199.07,14109,17.99,immoscout
1602.13,91.55,10115,17.50,immoscout
1553.85,115.10,10115,13.50,immoscout
2058.00,117.60,10115,17.50,immoscout
2052.75,117.30,10115,17.50,immoscout
2135.00,123.00,12587,17.36,immoscout
1880.75,92.42,10557,20.35,immoscout
1103.30,64.90,10557,17.00,immoscout
5700.00,186.00,10669,30.65,immoscout
825.00,65.96,12489,12.51,immoscout
1625.00,65.00,10555,25.00,immoscout
1180.00,59.00,10555,20.00,immoscout
2490.00,170.00,10629,14.65,immoscout
4636.35,300.00,10719,15.45,immoscout
744.00,62.00,13597,12.00,immoscout
1000.00,59.00,10709,16.95,immoscout
2265.00,141.49,14199,16.01,immoscout
1805.00,112.71,14199,16.01,immoscout
2135.49,101.69,10557,21.00,immoscout
2487.88,121.36,10557,20.50,immoscout
2259.45,121.15,10557,18.65,immoscout
1841.94,92.56,10557,19.90,immoscout
1576.88,85.70,10557,18.40,immoscout
1528.55,81.96,10557,18.65,immoscout
386.00,32.86,12357,11.75,immoscout
2275.82,122.29,10557,18.61,immoscout
1677.36,93.97,10557,17.85,immoscout
317.55,41.06,12055,7.73,immoscout
1105.00,55.00,12051,20.09,immoscout
1850.00,90.02,10969,20.55,immoscout
1749.98,80.98,10969,21.61,immoscout
309.00,30.00,12309,10.30,immoscout
1373.00,114.42,12555,12.00,immoscout
2149.92,119.44,10557,18.00,immoscout
1771.45,97.87,10557,18.10,immoscout
2200.00,121.00,10785,18.18,immoscout
1529.44,81.57,10557,18.75,immoscout
2200.00,135.00,13053,16.30,immoscout
1600.00,80.00,10117,20.00,immoscout
1290.00,80.00,10627,16.13,immoscout
1450.00,85.00,10627,17.06,immoscout
1872.39,108.86,10557,17.20,immoscout
1990.00,125.46,10785,15.86,immoscout
1952.44,104.13,10557,18.75,immoscout
906.00,56.57,12347,16.02,immoscout
1066.00,69.40,12357,15.36,immoscout
1999.19,101.43,10969,19.71,immoscout
1873.01,108.58,10557,17.25,immoscout
2162.91,111.49,10557,19.40,immoscout
2379.41,122.65,10557,19.40,immoscout
2394.00,133.00,13187,18.00,immoscout
1500.00,41.00,10179,36.59,immoscout
1050.00,42.00,10179,25.00,immoscout
950.00,27.00,10179,35.19,immoscout
1700.00,62.00,10179,27.42,immoscout
728.61,30.98,10179,23.52,immoscout
1400.00,90.00,10625,15.56,immoscout
840.00,89.00,13581,9.44,immoscout
