base_rent,qm,rent_per_qm,data_set
529,56,9.45,immoscout
1655,159.2,10.40,immoscout
755,51,14.80,immoscout
570.83,26.55,21.50,immoscout
629,61.08,10.30,immoscout
562.8,32.61,17.26,immoscout
524.21,62,8.46,immoscout
736.59,27.71,26.58,immoscout
449.67,73.26,6.14,immoscout
502.07,61.71,8.14,immoscout
740,15,49.33,immoscout
2622,69.92,37.50,immoscout
3300,165,20.00,immoscout
1278.7,67.3,19.00,immoscout
1382.72,95.36,14.50,immoscout
676.7,67,10.10,immoscout
1010.45,72.18,14.00,immoscout
2370.19,180.93,13.10,immoscout
1890,73,25.89,immoscout
430.75,41.82,10.30,immoscout
1700,101.15,16.81,immoscout
1094.55,72.97,15.00,immoscout
1055.67,105,10.05,immoscout
1450.95,85.35,17.00,immoscout
1835.4,87.4,21.00,immoscout
464.17,66.31,7.00,immoscout
1670,126.59,13.19,immoscout
253.45,25.86,9.80,immoscout
669.74,86.24,7.77,immoscout
2100,125,16.80,immoscout
1099.68,39.5,27.84,immoscout
1399.56,53.5,26.16,immoscout
1060,77,13.77,immoscout
750,41.69,17.99,immoscout
2100,155,13.55,immoscout
2040,119,17.14,immoscout
856,68.5,12.50,immoscout
661,57.5,11.50,immoscout
620.14,71,8.73,immoscout
1060,44,24.09,immoscout
1200,57.7,20.80,immoscout
1650,77,21.43,immoscout
1460,85,17.18,immoscout
920,46,20.00,immoscout
1008,63,16.00,immoscout
1026,54,19.00,immoscout
799,73,10.95,immoscout
1998,79.05,25.28,immoscout
300.33,45.89,6.54,immoscout
476.26,67.08,7.10,immoscout
985,64,15.39,immoscout
610,30.49,20.01,immoscout
1237,84.25,14.68,immoscout
2794.08,174.63,16.00,immoscout
1478.7,82.15,18.00,immoscout
1164,93.15,12.50,immoscout
3250,216.17,15.03,immoscout
638,22,29.00,immoscout
2199,143.13,15.36,immoscout
1443.28,90.21,16.00,immoscout
1258.06,88.29,14.25,immoscout
1088.26,65.96,16.50,immoscout
2490,100.7,24.73,immoscout
3265.42,143.54,22.75,immoscout
450,55,8.18,immoscout
692,72.23,9.58,immoscout
655.8,74.45,8.81,immoscout
1216.8,81.12,15.00,immoscout
963.5,64.24,15.00,immoscout
1420,57.19,24.83,immoscout
1216.8,81.12,15.00,immoscout
1147.95,76.53,15.00,immoscout
1912.54,136.61,14.00,immoscout
790,76,10.39,immoscout
1986,153,12.98,immoscout
1142.87,99,11.54,immoscout
1164.84,68.52,17.00,immoscout
1565.03,82.37,19.00,immoscout
1600,95,16.84,immoscout
2173.44,135.84,16.00,immoscout
710,18,39.44,immoscout
690,15,46.00,immoscout
690,16,43.13,immoscout
805.31,73.21,11.00,immoscout
780,19,41.05,immoscout
333.59,51.48,6.48,immoscout
840,20,42.00,immoscout
800,16,50.00,immoscout
2300,180,12.78,immoscout
366.05,37,9.89,immoscout
760,63,12.06,immoscout
2172,148.71,14.61,immoscout
863.62,74.5,11.59,immoscout
1676.91,87.43,19.18,immoscout
2900,127.37,22.77,immoscout
640,10,64.00,immoscout
2597,133.19,19.50,immoscout
1184,74.31,15.93,immoscout
1899,110,17.26,immoscout
2027,144.84,13.99,immoscout
2550,161,15.84,immoscout
1650,108,15.28,immoscout
2575,142,18.13,immoscout
1710,85.5,20.00,immoscout
1122.27,64.13,17.50,immoscout
3200,240,13.33,immoscout
670.38,48.15,13.92,immoscout
2505.75,66.82,37.50,immoscout
1023.23,82.16,12.45,immoscout
861.06,61.42,14.02,immoscout
445.42,61.95,7.19,immoscout
640,13,49.23,immoscout
2548,260,9.80,immoscout
1458.42,100.65,14.49,immoscout
1100,100,11.00,immoscout
2400,112,21.43,immoscout
1800,48,37.50,immoscout
1200,37,32.43,immoscout
1799.98,76.34,23.58,immoscout
2575,103,25.00,immoscout
1299,73.41,17.70,immoscout
1562,97.62,16.00,immoscout
1799,95.8,18.78,immoscout
2557.8,121.9,20.98,immoscout
1500,73,20.55,immoscout
1700,84,20.24,immoscout
1399,106,13.20,immoscout
1230,43,28.60,immoscout
2250,116,19.40,immoscout
998.66,92.64,10.78,immoscout
2410.29,123.08,19.58,immoscout
1890,101.38,18.64,immoscout
1200,73,16.44,immoscout
1149,95.86,11.99,immoscout
1195.04,75.16,15.90,immoscout
1475,140.59,10.49,immoscout
289.72,38,7.62,immoscout
285.74,38,7.52,immoscout
795,80.28,9.90,immoscout
718.85,91,7.90,immoscout
330,39,8.46,immoscout
4000,152.7,26.20,immoscout
920,70,13.14,immoscout
910,70,13.00,immoscout
2227.5,165,13.50,immoscout
1335,76.21,17.52,immoscout
679.59,75.51,9.00,immoscout
780.5,62.44,12.50,immoscout
533.97,59.33,9.00,immoscout
876.4,97,9.04,immoscout
549.98,59,9.32,immoscout
704,88,8.00,immoscout
500,22.25,22.47,immoscout
248,31,8.00,immoscout
665.03,83,8.01,immoscout
1735,118,14.70,immoscout
1368,76,18.00,immoscout
980,75,13.07,immoscout
912,48,19.00,immoscout
608.58,67.62,9.00,immoscout
1250,108.13,11.56,immoscout
970.88,52.48,18.50,immoscout
647,42.8,15.12,immoscout
735,74,9.93,immoscout
579,60,9.65,immoscout
579,60,9.65,immoscout
1600,86.4,18.52,immoscout
2150,190,11.32,immoscout
538,19,28.32,immoscout
1711.35,95.34,17.95,immoscout
2131.1,122.83,17.35,immoscout
1775,99.44,17.85,immoscout
1050.25,56.25,18.67,immoscout
1602,89,18.00,immoscout
1550.88,116,13.37,immoscout
1094.73,84.21,13.00,immoscout
595,23.08,25.78,immoscout
1322.24,82.64,16.00,immoscout
2700,198,13.64,immoscout
1033.35,46.97,22.00,immoscout
869,90,9.66,immoscout
2850,165,17.27,immoscout
841.8,36.6,23.00,immoscout
2610,127.66,20.44,immoscout
550,45.25,12.15,immoscout
428.29,64.02,6.69,immoscout
925,66,14.02,immoscout
1761.17,90.06,19.56,immoscout
1266.6,66.4,19.08,immoscout
850,30,28.33,immoscout
349.58,43,8.13,immoscout
787,63,12.49,immoscout
653.14,75.16,8.69,immoscout
289.72,38,7.62,immoscout
2200,150,14.67,immoscout
2350,118,19.92,immoscout
1636.65,109.11,15.00,immoscout
570,28.89,19.73,immoscout
585,25.05,23.35,immoscout
826,39.55,20.88,immoscout
2570,156.68,16.40,immoscout
1990,125.49,15.86,immoscout
1297,114,11.38,immoscout
2575,142,18.13,immoscout
449,20.3,22.12,immoscout
459,20.3,22.61,immoscout
900.1,35.16,25.60,immoscout
1580,103.12,15.32,immoscout
464.17,66.31,7.00,immoscout
950,68,13.97,immoscout
1641,126,13.02,immoscout
1133.65,64.78,17.50,immoscout
1157.11,66.31,17.45,immoscout
3008.15,170.45,17.65,immoscout
1158.84,66.6,17.40,immoscout
1180,56,21.07,immoscout
880,56.7,15.52,immoscout
1490,99.4,14.99,immoscout
1365,70,19.50,immoscout
2100,140.16,14.98,immoscout
1929,106.98,18.03,immoscout
5981,225,26.58,immoscout
2500,127,19.69,immoscout
1700.14,128,13.28,immoscout
1142.87,99,11.54,immoscout
1550,85,18.24,immoscout
1764.91,92.89,19.00,immoscout
530,35.81,14.80,immoscout
430,28,15.36,immoscout
900,38.35,23.47,immoscout
1279.76,75.28,17.00,immoscout
1550,80.95,19.15,immoscout
4416.4,110.41,40.00,immoscout
5540.64,131.92,42.00,immoscout
5540.64,131.92,42.00,immoscout
4416.4,110.41,40.00,immoscout
4416.4,110.41,40.00,immoscout
850,42,20.24,immoscout
2593.4,129.67,20.00,immoscout
465,19.5,23.85,immoscout
1464.13,117.13,12.50,immoscout
1014.3,57.96,17.50,immoscout
1776.53,118.44,15.00,immoscout
1412.95,97.45,14.50,immoscout
399,11,36.27,immoscout
2200,124,17.74,immoscout
534.93,59,9.07,immoscout
399,11,36.27,immoscout
399,11,36.27,immoscout
1299.9,54.05,24.05,immoscout
1773.65,100.49,17.65,immoscout
1766.18,91.04,19.40,immoscout
1666.68,98.04,17.00,immoscout
1745.5,130,13.43,immoscout
1169.14,82.05,14.25,immoscout
1107.76,68.17,16.25,immoscout
1771.67,98.7,17.95,immoscout
1740.61,96.97,17.95,immoscout
1346,69,19.51,immoscout
3300,152,21.71,immoscout
1750,0,#DIV/0!,immoscout
2157.1,154.35,13.98,immoscout
1130.56,65.35,17.30,immoscout
1718.24,96.26,17.85,immoscout
1148.37,66.38,17.30,immoscout
1750.81,96.73,18.10,immoscout
1730.2,96.93,17.85,immoscout
1335.48,107.25,12.45,immoscout
2200,100.46,21.90,immoscout
2365,98,24.13,immoscout
860,48,17.92,immoscout
1397.4,76.57,18.25,immoscout
3315,138,24.02,immoscout
1560,80.9,19.28,immoscout
492,24,20.50,immoscout
1150,90,12.78,immoscout
1900,130,14.62,immoscout
850,75,11.33,immoscout
689.99,79,8.73,immoscout
1336.02,75.91,17.60,immoscout
2873.56,151,19.03,immoscout
2442.5,228.27,10.70,immoscout
1222,47,26.00,immoscout
1854.81,92.05,20.15,immoscout
2149.92,119.44,18.00,immoscout
1543.56,81.67,18.90,immoscout
2487.88,121.36,20.50,immoscout
2990,120,24.92,immoscout
1528.55,81.96,18.65,immoscout
1583.5,86.06,18.40,immoscout
610,61,10.00,immoscout
1030,81.5,12.64,immoscout
1336.02,75.91,17.60,immoscout
478.98,30.47,15.72,immoscout
545,23.16,23.53,immoscout
1250,56.61,22.08,immoscout
2200,109,20.18,immoscout
2442.88,111,22.01,immoscout
2980,142,20.99,immoscout
2200,107,20.56,immoscout
2824.03,131,21.56,immoscout
2800,174.93,16.01,immoscout
1686.6,112.44,15.00,immoscout
1698,101.02,16.81,immoscout
1999,125.2,15.97,immoscout
785.03,58.15,13.50,immoscout
464.69,24.25,19.16,immoscout
1252,64.14,19.52,immoscout
1251.06,89.17,14.03,immoscout
1045.66,74.53,14.03,immoscout
2491,99.65,25.00,immoscout
322.41,37.93,8.50,immoscout
1614.62,84.98,19.00,immoscout
1300,57,22.81,immoscout
1349,51,26.45,immoscout
1099,43,25.56,immoscout
420,20.3,20.69,immoscout
1295,64,20.23,immoscout
1935,122,15.86,immoscout
2700,169.53,15.93,immoscout
2780,173.79,16.00,immoscout
1250,129.53,9.65,immoscout
868,65.54,13.24,immoscout
2400,100,24.00,immoscout
1836,153,12.00,immoscout
3440,176.5,19.49,immoscout
2457.8,122.89,20.00,immoscout
1600,55,29.09,immoscout
1680,75,22.40,immoscout
598.9,59.89,10.00,immoscout
950,67.86,14.00,immoscout
1632,136,12.00,immoscout
1640,102.41,16.01,immoscout
3670,153,23.99,immoscout
1495.62,106.83,14.00,immoscout
1872.6,124.84,15.00,immoscout
1960.75,126.5,15.50,immoscout
1810,121.91,14.85,immoscout
1390,73.78,18.84,immoscout
621.51,72,8.63,immoscout
1250,87,14.37,immoscout
483.28,56,8.63,immoscout
2565,171,15.00,immoscout
3800,200,19.00,immoscout
1440,80,18.00,immoscout
1710,95,18.00,immoscout
4400,123,35.77,immoscout
717.27,77.88,9.21,immoscout
5100,123,41.46,immoscout
1199,52,23.06,immoscout
1390,55,25.27,immoscout
875,35,25.00,immoscout
1730,93,18.60,immoscout
1543.19,81.65,18.90,immoscout
2131.92,101.52,21.00,immoscout
2720,68,40.00,immoscout
1095,68.63,15.96,immoscout
1444.64,99.63,14.50,immoscout
1450,102,14.22,immoscout
2200,131.19,16.77,immoscout
1854.81,92.05,20.15,immoscout
1813.37,98.02,18.50,immoscout
3582,199.07,17.99,immoscout
1602.13,91.55,17.50,immoscout
1553.85,115.1,13.50,immoscout
2058,117.6,17.50,immoscout
2052.75,117.3,17.50,immoscout
2135,123,17.36,immoscout
1880.75,92.42,20.35,immoscout
1103.3,64.9,17.00,immoscout
5700,186,30.65,immoscout
825,65.96,12.51,immoscout
1625,65,25.00,immoscout
1180,59,20.00,immoscout
2490,170,14.65,immoscout
4636.35,300,15.45,immoscout
744,62,12.00,immoscout
1000,59,16.95,immoscout
2265,141.49,16.01,immoscout
1805,112.71,16.01,immoscout
2135.49,101.69,21.00,immoscout
2487.88,121.36,20.50,immoscout
2259.45,121.15,18.65,immoscout
1841.94,92.56,19.90,immoscout
1576.88,85.7,18.40,immoscout
1528.55,81.96,18.65,immoscout
386,32.86,11.75,immoscout
2275.82,122.29,18.61,immoscout
1677.36,93.97,17.85,immoscout
317.55,41.06,7.73,immoscout
1105,55,20.09,immoscout
1850,90.02,20.55,immoscout
1749.98,80.98,21.61,immoscout
309,30,10.30,immoscout
1373,114.42,12.00,immoscout
2149.92,119.44,18.00,immoscout
1771.45,97.87,18.10,immoscout
2200,121,18.18,immoscout
1529.44,81.57,18.75,immoscout
2200,135,16.30,immoscout
1600,80,20.00,immoscout
1290,80,16.13,immoscout
1450,85,17.06,immoscout
1872.39,108.86,17.20,immoscout
1990,125.46,15.86,immoscout
1952.44,104.13,18.75,immoscout
906,56.57,16.02,immoscout
1066,69.4,15.36,immoscout
1999.19,101.43,19.71,immoscout
1873.01,108.58,17.25,immoscout
2162.91,111.49,19.40,immoscout
2379.41,122.65,19.40,immoscout
2394,133,18.00,immoscout
1500,41,36.59,immoscout
1050,42,25.00,immoscout
950,27,35.19,immoscout
1700,62,27.42,immoscout
728.61,30.98,23.52,immoscout
1400,90,15.56,immoscout
840,89,9.44,immoscout
