base_rent,qm,plz,street,rent_per_qm,data_set
580,39.58,10318,Trautenauer Stra&szlig;e,14.65,immoscout
1700,150,13507,Schlieperstr.,11.33,immoscout
490,39,10551,Emdener Strasse,12.56,immoscout
1590,98,10785,Genthiner Stra&szlig;e,16.22,immoscout
999,27.75,13407,Alt-Reinickendorf,36.00,immoscout
692,44,14050,Fredericia,15.73,immoscout
990,53.36,10437,Kopenhagener Str.,18.55,immoscout
509.75,51.49,12619,Kummerower Ring,9.90,immoscout
1347,110,12524,Bruno-Taut-Stra&szlig;e,12.25,immoscout
1655.8,116,12051,Mariendorfer Weg,14.27,immoscout
1275,155.32,13465,F&uuml;rstendamm,8.21,immoscout
1400,81.12,14199,no_information,17.26,immoscout
473.48,68,13351,Transvaalstr.,6.96,immoscout
587.38,64,12207,Schillerstr.,9.18,immoscout
850,48.74,13595,Pichelsdorfer Str.,17.44,immoscout
1550,100.47,10585,no_information,15.43,immoscout
730,63,12555,Cardinalplatz,11.59,immoscout
1050,70,10115,Bergstra&szlig;e,15.00,immoscout
1389.24,81.72,10245,Simplonstra&szlig;e,17.00,immoscout
3229.92,169.82,10117,Wilhelmstr.,19.02,immoscout
498.9,83,12351,Johannisthaler Chaussee,6.01,immoscout
1772.51,89.62,10117,Vo&szlig;str.,19.78,immoscout
599,50.23,10551,Turmstra&szlig;e,11.93,immoscout
326.52,48,13409,Sommerstr.,6.80,immoscout
1390,45,10117,Am Zirkus,30.89,immoscout
454.66,57,14109,Sch&auml;ferstr.,7.98,immoscout
11548.8,294.99,10117,Vo&szlig;stra&szlig;e,39.15,immoscout
945,65,12439,no_information,14.54,immoscout
920.92,64.97,13187,Pichelswerder Stra&szlig;e,14.17,immoscout
1169.87,63.49,10557,Heidestra&szlig;e,18.43,immoscout
1213.27,65.76,10557,Heidestra&szlig;e,18.45,immoscout
1518.5,85.07,10557,Heidestra&szlig;e,17.85,immoscout
459.56,66,13629,Reisstr.,6.96,immoscout
1095.33,62.95,10557,Heidestra&szlig;e,17.40,immoscout
1180.29,65.03,10557,Heidestra&szlig;e,18.15,immoscout
714.51,32.83,12049,Allerstra&szlig;e,21.76,immoscout
1308.4,130.84,12557,Bendigstr.,10.00,immoscout
980,55,12435,Mengerzeile,17.82,immoscout
1670,151,12557,no_information,11.06,immoscout
700,43.73,12107,Mariendorfer Damm,16.01,immoscout
1650,130.31,12107,Mariendorfer Damm,12.66,immoscout
1150,76.51,12107,Mariendorfer Damm,15.03,immoscout
580,36.14,12107,Mariendorfer Damm,16.05,immoscout
825,51.58,12107,Mariendorfer Damm,15.99,immoscout
1100,70,12043,Hobrechtstrasse,15.71,immoscout
1550,117.5,12487,Sterndamm,13.19,immoscout
950,50,10179,Alte Jakobstra&szlig;e,19.00,immoscout
1507.63,100,14050,Akazienallee,15.08,immoscout
1200,65.41,13595,Plathweg,18.35,immoscout
1340,65,10439,Driesener Stra&szlig;e,20.62,immoscout
354.51,49,14193,Friedrichsruher Str.,7.23,immoscout
328.54,41,14055,Angerburger Allee,8.01,immoscout
2200,136.16,10963,Gabriele-Tergit-Promenade,16.16,immoscout
1500,79,14052,no_information,18.99,immoscout
485,48.37,13629,Schuckertdamm,10.03,immoscout
2570,117,14195,Clayallee,21.97,immoscout
1060,70,12589,no_information,15.14,immoscout
1040,78.91,13156,Dietzgenstra&szlig;e,13.18,immoscout
3500,150,10785,Sch&ouml;neberger Ufer,23.33,immoscout
1300,73.81,13595,Pichelsdorfer Str.,17.61,immoscout
520.31,74.33,12629,Luckenwalder Str.,7.00,immoscout
399.02,53,13409,Residenzstra&szlig;e,7.53,immoscout
380,47.5,12629,Kyritzer Str.,8.00,immoscout
404.37,54,13409,Residenzstra&szlig;e,7.49,immoscout
940,70.12,14167,Platz des 4. Juli,13.41,immoscout
480,27,12487,Sterndamm,17.78,immoscout
734.75,92.9,12309,Nahariyastra&szlig;e,7.91,immoscout
1650,93,10785,Rudolph-von-Gneist-Gasse 07/10,17.74,immoscout
852.5,77.5,10439,no_information,11.00,immoscout
479.07,58.38,12309,Nahariyastra&szlig;e,8.21,immoscout
1570.8,68.63,10117,Niederlagstr.,22.89,immoscout
644.48,80.59,12309,Gro&szlig;-Ziethener-Stra&szlig;e,8.00,immoscout
1100,50,12435,Bouchestrasse,22.00,immoscout
1400,65,12435,Bouchestrasse,21.54,immoscout
653.27,81.69,12309,Gro&szlig;-Ziethener-Stra&szlig;e,8.00,immoscout
481,53.47,12527,Libboldallee,9.00,immoscout
1445.47,168,12459,no_information,8.60,immoscout
620,25.63,10243,Wriezener Karree,24.19,immoscout
1579.45,133.4,12161,Wiesbadener Stra&szlig;e,11.84,immoscout
835,37.24,10243,Wriezener Karree,22.42,immoscout
970,42.35,10243,Wriezener Karree,22.90,immoscout
710,28.76,10243,Wriezener Karree,24.69,immoscout
480,30,13359,no_information,16.00,immoscout
900,45,10551,Emdener str.,20.00,immoscout
1655,159.2,12161,Rheinstra&szlig;e,10.40,immoscout
304.15,35,12107,Lankwitzer Stra&szlig;e,8.69,immoscout
1470,86,10785,Rudolph-von-Gneist-Gasse 03/08,17.09,immoscout
1500,102,12167,no_information,14.71,immoscout
262.04,31.89,14193,Friedrichsruher Str.,8.22,immoscout
740.43,91.83,10717,Bundesallee,8.06,immoscout
1900,130,12435,no_information,14.62,immoscout
395.02,36.03,12683,Blumberger Damm,10.96,immoscout
1600,65,10789,Bellevuestrasse,24.62,immoscout
1250,68.5,10179,Wassergasse,18.25,immoscout
684.97,84.88,14055,Am Rupenhorn,8.07,immoscout
864.6,116.1,12105,Kaiserstra&szlig;e,7.45,immoscout
2100,129,10551,Turmstra&szlig;e,16.28,immoscout
1666.68,89.8,13187,no_information,18.56,immoscout
454.91,60.98,12109,Mariendorfer Damm,7.46,immoscout
367.98,38.03,12683,Blumberger Damm,9.68,immoscout
585,37.13,13347,Antonstra&szlig;e,15.76,immoscout
344.19,56.61,13349,Syrische Stra&szlig;e,6.08,immoscout
455,35,13507,Schlieperstra&szlig;e,13.00,immoscout
356.8,43,12309,Gro&szlig;-Ziethener-Stra&szlig;e,8.30,immoscout
750,27,10179,K&ouml;penickerstra&szlig;e,27.78,immoscout
353.35,43,12309,Gro&szlig;-Ziethener-Stra&szlig;e,8.22,immoscout
768.12,97,12309,Gro&szlig;-Ziethener-Stra&szlig;e,7.92,immoscout
338.67,30.39,12353,Lipschitzallee,11.14,immoscout
407.46,37.55,10997,Manteuffelstr.,10.85,immoscout
849,94.39,13127,Blankenfelder Stra&szlig;e,8.99,immoscout
629,68.99,12627,Quedlinburger Stra&szlig;e,9.12,immoscout
749.22,55.09,13597,Fischerstr.,13.60,immoscout
590,24.45,13347,Gerichtstra&szlig;e,24.13,immoscout
765,34,10243,Koppenstra&szlig;e,22.50,immoscout
790,87.51,10551,Quitzowstrasse,9.03,immoscout
297,40,13357,Pankstr.,7.43,immoscout
957.02,139,13407,R&uuml;tlistr.,6.89,immoscout
1300,50,10437,Pappelallee,26.00,immoscout
489.82,59,13403,Antonienstra&szlig;e,8.30,immoscout
1450,101,12163,Ahornstra&szlig;e,14.36,immoscout
1682.65,111.73,10117,Seydelstr.,15.06,immoscout
2001.02,132.87,10117,Seydelstr.,15.06,immoscout
2197.4,145.91,10785,K&ouml;bisstr.,15.06,immoscout
1350,82,10249,Hausburgstra&szlig;e,16.46,immoscout
1664,131.67,10179,Dresdener Stra&szlig;e,12.64,immoscout
1150,58,10249,Hausburgstra&szlig;e,19.83,immoscout
1998,118.3,13189,Talstra&szlig;e,16.89,immoscout
3900,254,10623,Bleibtreustra&szlig;e,15.35,immoscout
1218,70.2,13189,Talstra&szlig;e,17.35,immoscout
620,45,14193,K&ouml;nigsallee,13.78,immoscout
1073,63.13,10779,Aschaffenburger Str.,17.00,immoscout
1374,79.1,13189,Talstra&szlig;e,17.37,immoscout
1856,106.07,14050,Nussbaumallee,17.50,immoscout
900,60.2,12157,Rubensstra&szlig;e,14.95,immoscout
1250,60.81,12157,Rubensstr.,20.56,immoscout
1140,82.82,12207,Ostpreu&szlig;endamm,13.76,immoscout
1785,119,10587,Cauerstrasse,15.00,immoscout
1375,83,10707,no_information,16.57,immoscout
660,10,10557,Klara Franke Stra&szlig;e,66.00,immoscout
2000,141.58,10437,Sch&ouml;nhauser Allee,14.13,immoscout
1888,118,10629,Sybelstra&szlig;e,16.00,immoscout
1980,162.5,10117,Mohrenstra&szlig;e,12.18,immoscout
1625,109.72,10781,Gleditschstra&szlig;e,14.81,immoscout
488,25,13089,no_information,19.52,immoscout
1160,97,10589,Kaiserin-Augusta-Allee,11.96,immoscout
3704.63,419.55,14059,no_information,8.83,immoscout
1420,142,14109,Lange St&uuml;cken,10.00,immoscout
767,29,10965,Fidicinstra&szlig;e,26.45,immoscout
1332,94.68,10318,Trautenauer Stra&szlig;e,14.07,immoscout
460,23.09,10178,Wadzeckstra&szlig;e,19.92,immoscout
980,52.15,10625,no_information,18.79,immoscout
850,50,10317,no_information,17.00,immoscout
4790,172,10777,Geisbergstra&szlig;e,27.85,immoscout
1203.05,71.61,10587,Fraunhoferstra&szlig;e,16.80,immoscout
945,74.68,13127,Nantesstra&szlig;e,12.65,immoscout
915,71.63,13127,Nantesstra&szlig;e,12.77,immoscout
826,49.37,10247,no_information,16.73,immoscout
470,19.5,13347,Gerichtstra&szlig;e,24.10,immoscout
2783,167,14193,Caspar-They&szlig;-Stra&szlig;e,16.66,immoscout
1600,96,12043,Richardstr.,16.67,immoscout
272.53,41.34,12103,Burgemeisterstr.,6.59,immoscout
1303.75,87.5,10585,Otto-Suhr-Allee,14.90,immoscout
1347,94.68,10318,Trautenauer Stra&szlig;e,14.23,immoscout
999,84.55,13507,Bernauer Stra&szlig;e,11.82,immoscout
609,43.9,13507,Bernauer Stra&szlig;e,13.87,immoscout
705.5,76.6,14199,Forckenbeckstra&szlig;e,9.21,immoscout
834,79,15732,Waldstra&szlig;e,10.56,immoscout
850,55,13585,Feldstra&szlig;e,15.45,immoscout
900,64,12209,Koloniestra&szlig;e,14.06,immoscout
595,25.9,10715,Wexstra&szlig;e,22.97,immoscout
1120,53.23,10179,Wallstra&szlig;e,21.04,immoscout
690,71.2,10713,Kahlstra&szlig;e,9.69,immoscout
2635,119.8,10179,Wallstra&szlig;e,21.99,immoscout
1500.24,98.7,10115,Chausseestra&szlig;e,15.20,immoscout
1670,89,10717,Fechnerstrasse,18.76,immoscout
1150,59,14199,no_information,19.49,immoscout
1270,64,10119,Gipsstr,19.84,immoscout
371.67,57.18,12627,Tangerm&uuml;nder Stra&szlig;e,6.50,immoscout
287.89,44.29,12627,Tangerm&uuml;nder Stra&szlig;e,6.50,immoscout
1105,34.87,10629,Gervinusstr.,31.69,immoscout
1105,38.36,10629,Gervinusstr.,28.81,immoscout
611.53,66.58,12555,no_information,9.18,immoscout
1105,39.4,10629,Gervinusstr.,28.05,immoscout
1105,36.75,10629,Gervinusstr.,30.07,immoscout
870,25.85,10629,Gervinusstr.,33.66,immoscout
870,23.62,10629,Gervinusstr.,36.83,immoscout
1670,89,10717,Fechnerstrasse,18.76,immoscout
939,67.95,12489,D&ouml;rpfeldstra&szlig;e,13.82,immoscout
568.48,25.68,10315,Einbecker Str.,22.14,immoscout
841.19,43.1,10315,Einbecker Str.,19.52,immoscout
1600,139,10559,no_information,11.51,immoscout
1033.35,46.97,10315,Einbecker Str.,22.00,immoscout
4650,218,10115,Torstra&szlig;e,21.33,immoscout
578,41.44,10318,Trautenauer Stra&szlig;e,13.95,immoscout
944.63,58.6,12459,Tabbertstra&szlig;e,16.12,immoscout
1588.48,99.28,10245,Neue Bahnhofstra&szlig;e,16.00,immoscout
581,41.54,10318,Trautenauer Stra&szlig;e,13.99,immoscout
592,42.92,10318,Trautenauer Stra&szlig;e,13.79,immoscout
660,10,10557,Klara Franke Stra&szlig;e,66.00,immoscout
1800,104,10179,no_information,17.31,immoscout
1100,61,10785,Bellevuestra&szlig;e,18.03,immoscout
751.6,37.58,10243,Pillauer Str.,20.00,immoscout
1350,67.5,10179,Stallschreiber Stra&szlig;e,20.00,immoscout
599,43.44,10318,Trautenauer Stra&szlig;e,13.79,immoscout
560,60,13129,no_information,9.33,immoscout
670,35,10315,Rhinstr.,19.14,immoscout
372.63,49.29,13597,Lindenufer,7.56,immoscout
895.68,111.96,12207,no_information,8.00,immoscout
1250,78,10785,no_information,16.03,immoscout
2500,110,10117,Bauhofstra&szlig;e,22.73,immoscout
1000,55,10435,Swinem&uuml;nder Stra&szlig;e,18.18,immoscout
1388,69.39,10711,Heilbronnerstra&szlig;e,20.00,immoscout
715.19,79.8,12559,Am Schlo&szlig;berg,8.96,immoscout
950,43,10117,Behrenstra&szlig;e,22.09,immoscout
391.33,57.38,12459,An der Wuhlheide,6.82,immoscout
1400,78,14193,K&ouml;nigsallee,17.95,immoscout
1524,88.25,14199,Helene-Jacobs-Str.,17.27,immoscout
1800,94.47,10711,no_information,19.05,immoscout
963,98,13507,Treskowstrasse,9.83,immoscout
1650,105,10589,Mindenerstr,15.71,immoscout
1800,116,14057,Witzlebenstr.,15.52,immoscout
650,68,12527,Regattastrasse,9.56,immoscout
1173,56,10785,Potsdamer Stra&szlig;e,20.95,immoscout
482.78,59.15,12439,Rudower Stra&szlig;e,8.16,immoscout
2000,88,10627,no_information,22.73,immoscout
1250,61.26,10179,Wallstr.,20.40,immoscout
1715.05,130.83,10439,Paul-Robeson-Str.,13.11,immoscout
753.06,69,12555,Mittelheide,10.91,immoscout
755,35,10789,W&uuml;rzburgerstrasse,21.57,immoscout
2250,90.87,10785,Sch&ouml;neberger Ufer,24.76,immoscout
1417.67,101.24,12205,Sophie-Taeuber-Arp-Weg,14.00,immoscout
799,68.14,12437,Bodelschwinghstra&szlig;e,11.73,immoscout
1399,103.77,12107,Lauberhornweg,13.48,immoscout
250,20,12623,no_information,12.50,immoscout
550,53,12623,no_information,10.38,immoscout
2151.66,153.69,13187,Galenusstr.,14.00,immoscout
1580,120,12487,no_information,13.17,immoscout
375.1,37.51,10318,Eginhardstra&szlig;e,10.00,immoscout
1632,91.8,10117,Kommandantenstra&szlig;e,17.78,immoscout
780,17,10557,Klara Franke Stra&szlig;e,45.88,immoscout
2187,96,10825,Kufsteiner Stra&szlig;e,22.78,immoscout
690,13,10969,Oranienstra&szlig;e,53.08,immoscout
1215,59,10785,Genthiner Stra&szlig;e,20.59,immoscout
620,8,10557,Klara Franke Stra&szlig;e,77.50,immoscout
1500,84,14059,Heubnerweg,17.86,immoscout
650,42,13591,no_information,15.48,immoscout
1526,80,10785,Sch&ouml;neberger Ufer,19.08,immoscout
1080,80,12207,Ostpreu&szlig;endamm,13.50,immoscout
2617.35,174.49,10178,Gro&szlig;e-Pr&auml;sidentenstra&szlig;e,15.00,immoscout
1334,46,10707,Kurf&uuml;rstendamm,29.00,immoscout
1180,61.37,14199,Helene-Jacobs-Stra&szlig;e,19.23,immoscout
1040,57.33,14199,Helene-Jacobs-Stra&szlig;e,18.14,immoscout
1500,98.15,14199,Helene-Jacobs-Stra&szlig;e,15.28,immoscout
1390,88.41,14199,Werner-Richard-Heymann-Platz,15.72,immoscout
1460,85.37,14199,Helene-Jacobs-Stra&szlig;e,17.10,immoscout
990,57.31,14199,Helene-Jacobs-Stra&szlig;e,17.27,immoscout
1030,65.96,14199,Helene-Jacobs-Stra&szlig;e,15.62,immoscout
1370,81.12,14199,Helene-Jacobs-Stra&szlig;e,16.89,immoscout
1600,96.3,14199,no_information,16.61,immoscout
1400,89.21,14199,Helene-Jacobs-Stra&szlig;e,15.69,immoscout
1820,112.23,12163,Zimmermannstr.,16.22,immoscout
600,44,10589,Olberstrasse,13.64,immoscout
780,14,10115,Boyenstra&szlig;e,55.71,immoscout
700,15,10557,Klara Franke Stra&szlig;e,46.67,immoscout
1582.67,87,14199,Helene Jacobs Str,18.19,immoscout
780,18,10557,Klara Franke Stra&szlig;e,43.33,immoscout
799,62.3,12459,Wattstra&szlig;e,12.83,immoscout
500,40,13585,Ferbelliner Stra&szlig;e,12.50,immoscout
1490,50,12163,no_information,29.80,immoscout
2000,147,14059,Heubnerweg,13.61,immoscout
1656.63,108.56,13347,Reinickendorfer Str.,15.26,immoscout
950,95,12689,Fl&auml;mingstra&szlig;e,10.00,immoscout
805.37,86.32,13189,no_information,9.33,immoscout
838.77,89.9,13189,no_information,9.33,immoscout
851.64,91.28,13189,no_information,9.33,immoscout
805.18,86.3,13189,no_information,9.33,immoscout
827.94,88.74,13189,no_information,9.33,immoscout
1050,110,12487,K&ouml;nigsheideweg,9.55,immoscout
1807,120.41,12043,no_information,15.01,immoscout
3704.63,419.55,14059,no_information,8.83,immoscout
2148,143.13,10551,Wilhelmshavener Str.,15.01,immoscout
1606.56,100.41,10247,Glatzer Stra&szlig;e,16.00,immoscout
1422.82,57.78,10117,Leipziger Stra&szlig;e,24.62,immoscout
626.4,58,14059,Sophie-Charlotten-Stra&szlig;e,10.80,immoscout
1245,83,13156,Schillerstra&szlig;e,15.00,immoscout
499,37.17,10315,Rhinstra&szlig;e,13.42,immoscout
699,70.68,13057,Welsestra&szlig;e,9.89,immoscout
800,32,10789,Eislebenerstr.,25.00,immoscout
780,20,10115,Boyenstra&szlig;e,39.00,immoscout
950,46,10777,no_information,20.65,immoscout
1050,40,10585,Zillestra&szlig;e,26.25,immoscout
995.8,76.6,10247,Petersburger Stra&szlig;e,13.00,immoscout
1153.98,64.11,10117,Wilhelmstr.,18.00,immoscout
2729.54,143.66,10439,Driesener Str.,19.00,immoscout
999,50,10719,no_information,19.98,immoscout
4962.24,270.25,10117,Leipziger Stra&szlig;e,18.36,immoscout
1950,154.6,14057,Kaiserdamm,12.61,immoscout
3405.94,179.26,10439,Driesener Str.,19.00,immoscout
1811.27,95.33,10439,Schivelbeiner Stra&szlig;e,19.00,immoscout
2105,87.7,10197,Wall Stra&szlig;e,24.00,immoscout
780,20,10115,Boyenstra&szlig;e,39.00,immoscout
2250,124.9,10707,no_information,18.01,immoscout
750,28,10625,Leibnitzstr,26.79,immoscout
1300,121,13156,Schillerstr.,10.74,immoscout
2400,173,10179,K&ouml;penicker Stra&szlig;e,13.87,immoscout
1280,53,10197,Wall Str,24.15,immoscout
3320,207,10969,Oranienplatz,16.04,immoscout
1250,57,10115,Zinnowitzer Str.,21.93,immoscout
2650,106,10707,no_information,25.00,immoscout
1249.92,55.8,10827,Hauptstra&szlig;e,22.40,immoscout
1327.5,106,12555,Ottomar Geschke Strasse,12.52,immoscout
1083.48,90,12555,Ottomar Geschke Strasse,12.04,immoscout
3075.15,161.85,10439,no_information,19.00,immoscout
995,13.8,10115,no_information,72.10,immoscout
1600,97,10785,Sch&ouml;neberger Ufer,16.49,immoscout
875.89,69.46,12555,Am Filmlager,12.61,immoscout
275.02,37.9,13595,Baumertweg,7.26,immoscout
2950,252,10965,no_information,11.71,immoscout
1790,92,10179,Heinrich Heine Strasse,19.46,immoscout
795.94,46.82,13156,no_information,17.00,immoscout
1800,94,10117,Beuthstra&szlig;e,19.15,immoscout
2995,168.23,10435,Danziger Str.,17.80,immoscout
1950,100,10245,no_information,19.50,immoscout
2650,134,10969,Fromet-und-Moses-Mendelssohn-Platz,19.78,immoscout
988,54,14199,Helene-Jacobs-Stra&szlig;e,18.30,immoscout
1024,64,10115,Boyenstra&szlig;e,16.00,immoscout
950,26.9,10711,Karlsruherstra&szlig;e,35.32,immoscout
713.83,54.91,10245,Seumestra&szlig;e,13.00,immoscout
1340.68,121.88,10247,Samariterstra&szlig;e,11.00,immoscout
1277,70,10179,Wallstra&szlig;e,18.24,immoscout
371.67,61,13055,Gro&szlig;e-Leege-Str.,6.09,immoscout
740,16,10557,Klara Franke Stra&szlig;e,46.25,immoscout
1636.65,109.11,10245,Boxhagener Stra&szlig;e,15.00,immoscout
449,35.69,12627,Kastanienallee,12.58,immoscout
629,68,12629,Havell&auml;nder Ring,9.25,immoscout
699,57.84,13127,La-Rochelle-Stra&szlig;e,12.09,immoscout
569,53.98,12627,Kastanienallee,10.54,immoscout
599,45.84,13127,Rosenthaler Weg,13.07,immoscout
949,75.31,13055,Gro&szlig;e-Leege-Stra&szlig;e,12.60,immoscout
459,35.69,12627,Kastanienallee,12.86,immoscout
718,72.27,10317,Weitlingstra&szlig;e,9.93,immoscout
1126.59,62.42,10179,Voltairestra&szlig;e,18.05,immoscout
1246.17,69.04,10179,Voltairestra&szlig;e,18.05,immoscout
850,62.69,12683,no_information,13.56,immoscout
990,90.7,13579,Ruhlebenerstr.,10.92,immoscout
607.73,69.06,12353,Lipschitzallee,8.80,immoscout
800,45,10707,schl&uuml;terstrasse,17.78,immoscout
1260,51,10119,Linienstra&szlig;e,24.71,immoscout
992.25,66.15,12459,Tabbertstra&szlig;e,15.00,immoscout
550,46,14052,no_information,11.96,immoscout
1120,68,10965,Columbiadamm,16.47,immoscout
960.05,66.21,12051,Mariendorfer Weg,14.50,immoscout
560,16,10627,Bismarckstrasse,35.00,immoscout
780,42,10629,Leibnizstrasse,18.57,immoscout
610,18,13053,Strasse 150,33.89,immoscout
590.12,72.3,12559,Alt-M&uuml;ggelheim,8.16,immoscout
950,120,10555,Alt-Moabit,7.92,immoscout
1567.36,111.93,12459,Lauffener Str.,14.00,immoscout
800,24,10785,Linkstra&szlig;e,33.33,immoscout
824,74.88,10409,Grellstr.,11.00,immoscout
507.24,53.79,10315,Kraetkestra&szlig;e,9.43,immoscout
879,77.22,13127,Rosenthaler Weg,11.38,immoscout
699,61.87,13125,Pfannschmidtstr.,11.30,immoscout
710,37,10585,no_information,19.19,immoscout
998,49,12347,no_information,20.37,immoscout
1700,114,14059,Horstweg,14.91,immoscout
1900,95,10405,Ella-Kay Stra&szlig;e,20.00,immoscout
1100,53,10119,Gipsstrasse,20.75,immoscout
1900,142,10179,no_information,13.38,immoscout
722.88,57.83,13125,Am Hohen Feld,12.50,immoscout
1066.97,69.97,10315,Rosenfelder Ring,15.25,immoscout
905.38,62.44,10315,Rosenfelder Ring,14.50,immoscout
2050,132.14,10711,no_information,15.51,immoscout
1420,88.58,10711,no_information,16.03,immoscout
1595,82.75,10179,Wallstra&szlig;e,19.27,immoscout
1870,118.37,10711,no_information,15.80,immoscout
740,12,10115,Chausseestra&szlig;e,61.67,immoscout
430,30,13357,B&ouml;ttgerstr.,14.33,immoscout
1507.75,81.5,10777,no_information,18.50,immoscout
1700,115,10711,Westf&auml;lische Str.,14.78,immoscout
2035,146,10179,no_information,13.94,immoscout
1710,116,10711,Westf&auml;lische Str,14.74,immoscout
2215,119,10963,Gabriele Tergit Promenade,18.61,immoscout
1800,91.77,10557,Hilda-Geiringer-Weg,19.61,immoscout
1760,59,10245,Stralauer Allee,29.83,immoscout
1290,54,10178,Spandauer Stra&szlig;e,23.89,immoscout
1250,75,10365,no_information,16.67,immoscout
795,76,13465,Falkentaler Steig,10.46,immoscout
1920,150,14109,no_information,12.80,immoscout
555.88,56.32,12527,Libboldallee,9.87,immoscout
600,33,12589,Triglawstra&szlig;e,18.18,immoscout
640,8,10557,Klara Franke Stra&szlig;e,80.00,immoscout
507,39,12555,Gehsener Stra&szlig;e,13.00,immoscout
1830,168,14199,Hundekehlestr.,10.89,immoscout
1650,65,10585,no_information,25.38,immoscout
1100,55,10439,Malm&ouml;er Stra&szlig;e,20.00,immoscout
2300,150,10709,no_information,15.33,immoscout
1531.62,84.62,10557,Heidestra&szlig;e,18.10,immoscout
841.19,43.1,10315,Einbecker Str.,19.52,immoscout
1860.9,96.67,10557,Heidestra&szlig;e,19.25,immoscout
805,38,10247,Frankfurter Alley,21.18,immoscout
1282.85,72.02,10557,Heidestra&szlig;e,17.81,immoscout
568.48,25.68,10315,Einbecker Str.,22.14,immoscout
1126.6,65.31,10557,Heidestra&szlig;e,17.25,immoscout
1226.91,66.68,10557,Heidestra&szlig;e,18.40,immoscout
1214.57,66.37,10557,Heidestra&szlig;e,18.30,immoscout
439.47,49.94,13509,Illerzeile,8.80,immoscout
1168.22,63.49,10557,Heidestra&szlig;e,18.40,immoscout
1290,76,10179,no_information,16.97,immoscout
800,31,10709,Eisenzahnstra&szlig;e,25.81,immoscout
740,12,10115,Chausseestra&szlig;e,61.67,immoscout
2100,54,10249,no_information,38.89,immoscout
1750,50,10119,Templiner Stra&szlig;e,35.00,immoscout
789,43,14199,no_information,18.35,immoscout
1305,90.5,14059,Sophie-Charlottenstra&szlig;e,14.42,immoscout
600,56,13467,Hermsdorfer damm,10.71,immoscout
2517.12,139.84,10115,Boyenstra&szlig;e,18.00,immoscout
1680,139.07,13156,Dietzgenstra&szlig;e,12.08,immoscout
820.35,54.69,12459,Tabbertstra&szlig;e,15.00,immoscout
649.65,101.57,12459,Griechische Allee,6.40,immoscout
405.03,58.02,10249,Ebertystra&szlig;e,6.98,immoscout
1500,80,10179,Wallstr.,18.75,immoscout
881.4,63.41,10247,Dolziger Stra&szlig;e,13.90,immoscout
800,74,10409,Erich-Weinert-Str.,10.81,immoscout
904.47,36.6,10115,Pflugstra&szlig;e,24.71,immoscout
1599,165.1,12489,Gross- Berliner- Damm,9.69,immoscout
1121.71,117.58,13129,Suderoder Str.,9.54,immoscout
1205.56,68.26,10115,Habersaathstra&szlig;e,17.66,immoscout
777.49,32.56,10119,Weinbergsweg,23.88,immoscout
411.34,65.71,12353,Lipschitzallee,6.26,immoscout
1207,68.9,13189,Talstra&szlig;e,17.52,immoscout
1497,80.6,13189,Talstra&szlig;e,18.57,immoscout
1192,68.7,13189,Talstra&szlig;e,17.35,immoscout
700,16,10557,Klara Franke Stra&szlig;e,43.75,immoscout
900,34.14,10179,Neue Ro&szlig;str.,26.36,immoscout
1900,100.5,10777,Geisbergstra&szlig;e,18.91,immoscout
730.2,73,13409,Residenzstr.,10.00,immoscout
1283,102.63,13156,Friedrich-Engels-Str.,12.50,immoscout
403.81,18.41,12459,Schillerpromenade,21.93,immoscout
450.27,17.46,12459,Schillerpromenade,25.79,immoscout
2100,160,10559,Stephanstra&szlig;e,13.13,immoscout
457.56,19.33,12459,Schillerpromenade,23.67,immoscout
421.37,21.71,12459,Schillerpromenade,19.41,immoscout
1050,44,12043,Richardstra&szlig;e,23.86,immoscout
500,25,10713,Rudolst&auml;dter Str.,20.00,immoscout
3500,170,10709,no_information,20.59,immoscout
2150,148,10589,Klaustaler Stra&szlig;e,14.53,immoscout
1075,73.06,10318,Ehrlichstra&szlig;e,14.71,immoscout
800,62,13407,Eichborndamm,12.90,immoscout
1300,98,12347,Hannemann str,13.27,immoscout
1023,62,10247,Rigaer Stra&szlig;e,16.50,immoscout
2000,118.4,14199,K&ouml;sener Stra&szlig;e,16.89,immoscout
630,36.06,12349,Stra&szlig;e 482,17.47,immoscout
1306.91,121.01,10963,Gabriele-Tergit-Promenade,10.80,immoscout
2480,184,12161,Wilhelmsh&ouml;her Str.,13.48,immoscout
950,75,14089,Uetzer Steig,12.67,immoscout
981,65.4,13158,Stra&szlig;e vor Sch&ouml;nholz,15.00,immoscout
834.37,63.21,12527,Regattastra&szlig;e,13.20,immoscout
569,69,12309,Pasinger Stra&szlig;e,8.25,immoscout
1200,62,10707,Wittelsbacherstra&szlig;e,19.35,immoscout
579,73.08,12629,Havell&auml;nder Ring,7.92,immoscout
675,46.53,12439,Br&uuml;ckenstr.,14.51,immoscout
890,22,10245,Holteistra&szlig;e,40.45,immoscout
700,15,10557,Klara Franke Stra&szlig;e,46.67,immoscout
2460.7,117,10707,no_information,21.03,immoscout
1467.23,94.66,12435,Kiefholzstra&szlig;e,15.50,immoscout
605,42.45,12555,Landj&auml;gerstra&szlig;e,14.25,immoscout
670,46.82,12555,Landj&auml;gerstra&szlig;e,14.31,immoscout
695,43.21,12555,Landj&auml;gerstra&szlig;e,16.08,immoscout
