base_rent,qm,plz,street,rent_per_qm,data_set
250.24,35.8,12557,Charlottenstra&szlig;e,6.99,immoscout
245.65,40.27,12557,Charlottenstra&szlig;e,6.10,immoscout
318.55,52.74,12557,Gartenstra&szlig;e,6.04,immoscout
470,43,10553,Beusselstra&szlig;e,10.93,immoscout
850,30.14,10178,Rochstr.,28.20,immoscout
750,53,10245,Sonntagstr.,14.15,immoscout
666,68,12247,no_information,9.79,immoscout
1722,123,13086,no_information,14.00,immoscout
1618.54,115.61,10249,Richard-Sorge-Str.,14.00,immoscout
2052.76,108.04,10179,Wallstra&szlig;e,19.00,immoscout
479.4,70,12109,Mariendorfer Damm,6.85,immoscout
885,98.25,12557,Wendenschlo&szlig;stra&szlig;e,9.01,immoscout
486.76,45.07,10785,no_information,10.80,immoscout
842,93.5,12557,Wendenschlo&szlig;stra&szlig;e,9.01,immoscout
847.5,75,13055,Goeckestra&szlig;e,11.30,immoscout
600,50,13359,no_information,12.00,immoscout
580,28,10624,Schillerstra&szlig;e,20.71,immoscout
511,37,13347,Amsterdamer,13.81,immoscout
795,53,13088,no_information,15.00,immoscout
1580,105,13088,no_information,15.05,immoscout
1795,119,13088,no_information,15.08,immoscout
1405,100,13088,no_information,14.05,immoscout
1265,84,13088,no_information,15.06,immoscout
1904,119,13088,no_information,16.00,immoscout
1265,84,13088,no_information,15.06,immoscout
1438,95,13088,no_information,15.14,immoscout
1166,94,12353,Wildmeisterdamm,12.40,immoscout
960,53,10963,Hallesche Stra&szlig;e,18.11,immoscout
2168.32,98.56,10119,Brunnenstra&szlig;e,22.00,immoscout
877,46.87,10785,Voxstra&szlig;e,18.71,immoscout
531.72,45.72,12209,Lorenzstra&szlig;e,11.63,immoscout
1733.4,86.67,10625,Schl&uuml;terstra&szlig;e,20.00,immoscout
950,66,14197,Bergheimer Platz,14.39,immoscout
732,79.84,13347,Reinickendorfer Stra&szlig;e,9.17,immoscout
1000,98.21,12557,Gr&uuml;nauer Stra&szlig;e,10.18,immoscout
701.37,48.37,12439,Flie&szlig;stra&szlig;e,14.50,immoscout
1450,135,12207,K&ouml;nigsberger Str.,10.74,immoscout
500.57,65.18,13125,Beerbaumstr.,7.68,immoscout
263,34.6,12687,Trusetaler Stra&szlig;e,7.60,immoscout
521,89.8,12687,Trusetaler Stra&szlig;e,5.80,immoscout
457.24,38.79,10245,no_information,11.79,immoscout
1190,98,13409,Kamekestra&szlig;e,12.14,immoscout
2850,101,10629,no_information,28.22,immoscout
1160,70,12587,B&ouml;lschestra&szlig;e,16.57,immoscout
553,55.81,10553,Huttenstra&szlig;e,9.91,immoscout
